date,open,high,low,close,volume
2018-01-02,169.469,171.6003,168.5726,171.5605,25555934
2018-01-03,171.8294,173.8412,171.2617,171.5306,29517899
2018-01-04,171.8393,172.7655,171.3812,172.3273,22434597
2018-01-05,172.7357,174.6578,172.3472,174.2893,23660018
2018-01-08,173.642,174.8968,173.2237,173.642,20567766
2018-01-09,173.8412,174.3491,172.7058,173.622,21583997
2018-01-10,172.4568,173.5922,172.2974,173.5822,23959895
2018-01-11,173.881,174.7759,173.7814,174.5682,18667729
2018-01-12,175.4645,176.6397,174.9367,176.3708,25418080
2018-01-16,177.1775,178.6615,175.4247,175.4745,29565947
2018-01-17,175.4347,178.5221,174.359,178.3727,34386836
2018-01-18,178.6416,179.3686,177.5261,178.532,31193352
2018-01-19,177.8847,178.8507,176.6895,177.7353,32425067
2018-01-22,176.58,177.058,175.8844,176.2812,27108551
2018-01-23,176.58,178.7113,176.1019,176.321,32689146
2018-01-24,176.5302,176.58,172.4966,173.5125,51105090
2018-01-25,173.7963,174.2395,169.8375,170.4151,41529004
2018-01-26,171.3015,171.3015,169.3694,170.8135,39143011
2018-01-29,169.469,169.469,166.3915,167.2779,50640406
2018-01-30,164.8528,166.6903,164.0312,166.2919,46048185
2018-01-31,166.1923,167.7577,165.8238,166.7501,32478930
2018-02-01,166.4861,167.9352,166.0828,167.0986,47230787
2018-02-02,165.3259,166.1226,159.4498,159.8482,86593825
2018-02-05,158.4539,163.2145,155.3665,155.8545,72738522
2018-02-06,154.2012,163.0551,153.3746,162.3679,68243838
2018-02-07,162.4227,162.7364,158.4225,158.8921,51608580
2018-02-08,159.6391,160.3462,154.4004,154.5199,54390516
2018-02-09,157.07,157.89,150.24,156.41,70672608
2018-02-12,158.5,163.89,157.51,162.71,60819539
2018-02-13,161.95,164.75,161.65,164.34,32549163
2018-02-14,163.045,167.54,162.88,167.37,40644933
2018-02-15,169.79,173.09,169.0,172.99,51147171
2018-02-16,172.36,174.82,171.77,172.43,40176091
2018-02-20,172.05,174.26,171.42,171.85,33930540
2018-02-21,172.83,174.12,171.01,171.07,37471623
2018-02-22,171.8,173.95,171.71,172.5,30991940
2018-02-23,173.67,175.65,173.54,175.5,33812360
2018-02-26,176.35,179.39,176.21,178.97,38162174
2018-02-27,179.1,180.48,178.16,178.39,38928125
2018-02-28,179.26,180.615,178.05,178.12,37782138
2018-03-01,178.54,179.775,172.66,175.0,48801970
2018-03-02,172.8,176.3,172.45,176.21,38453950
2018-03-05,175.21,177.74,174.52,176.82,28401366
2018-03-06,177.91,178.25,176.13,176.67,23788506
2018-03-07,174.94,175.85,174.27,175.03,31703462
2018-03-08,175.48,177.12,175.07,176.94,23774107
2018-03-09,177.96,180.0,177.39,179.98,32185162
2018-03-12,180.29,182.39,180.21,181.72,32207081
2018-03-13,182.59,183.5,179.24,179.97,31693529
2018-03-14,180.32,180.52,177.81,178.44,29368356
2018-03-15,178.5,180.24,178.0701,178.65,22743798
2018-03-16,178.65,179.12,177.62,178.02,39404688
2018-03-19,177.32,177.47,173.66,175.3,33446771
2018-03-20,175.24,176.8,174.94,175.24,19649350
2018-03-21,175.04,175.09,171.26,171.27,37054935
2018-03-22,170.0,172.68,168.6,168.85,41490767
2018-03-23,168.39,169.92,164.94,164.94,41028784
2018-03-26,168.07,173.1,166.44,172.77,37541236
2018-03-27,173.68,175.15,166.92,168.34,40922579
2018-03-28,167.25,170.02,165.19,166.48,41668545
2018-03-29,167.805,171.75,166.9,167.78,38398505
2018-04-02,167.88,168.94,164.47,166.68,37586791
2018-04-03,167.64,168.7455,164.88,168.39,30278046
2018-04-04,164.88,172.01,164.77,171.61,34605489
2018-04-05,172.58,174.2304,172.08,172.8,26933197
2018-04-06,170.97,172.48,168.2,168.38,35005290
2018-04-09,169.88,173.09,169.845,170.05,29017718
2018-04-10,173.0,174.0,171.53,173.25,28614241
2018-04-11,172.23,173.9232,171.7,172.44,22431640
2018-04-12,173.41,175.0,173.04,174.14,22889285
2018-04-13,174.78,175.84,173.85,174.73,25124255
2018-04-16,175.0301,176.19,174.8301,175.82,21578420
2018-04-17,176.49,178.9365,176.41,178.24,26605442
2018-04-18,177.81,178.82,176.88,177.84,20754538
2018-04-19,174.95,175.39,172.66,172.8,34808800
2018-04-20,170.595,171.2184,165.43,165.72,65491140
2018-04-23,166.8348,166.92,164.09,165.24,36515477
2018-04-24,165.67,166.33,161.2201,162.94,33692017
2018-04-25,162.62,165.42,162.41,163.65,28382084
2018-04-26,164.12,165.73,163.37,164.22,27963014
2018-04-27,164.0,164.33,160.63,162.32,35655839
2018-04-30,162.1302,167.26,161.84,165.26,42427424
2018-05-01,166.4102,169.2,165.27,169.1,53569376
2018-05-02,175.225,177.75,173.8,176.57,66539371
2018-05-03,175.88,177.5,174.4411,176.89,34068180
2018-05-04,178.25,184.25,178.17,183.83,56201317
2018-05-07,185.18,187.67,184.75,185.16,42451423
