date,open,high,low,close,volume
2018-01-02,1750.09,1790.66,1744.5,1784.75,475542
2018-01-03,1790.23,1829.02,1785.0,1824.16,525606
2018-01-04,1838.54,1848.9,1802.03,1807.25,592572
2018-01-05,1820.18,1825.5,1805.8,1823.54,358593
2018-01-08,1827.49,1874.95,1825.19,1851.81,556178
2018-01-09,1863.2,1876.72,1857.5,1865.29,369617
2018-01-10,1855.52,1873.55,1855.42,1872.91,274399
2018-01-11,1880.0,1900.86,1877.88,1893.1,385893
2018-01-12,1898.04,1925.98,1890.01,1919.4,555315
2018-01-16,1930.71,1949.83,1914.96,1919.47,604897
2018-01-17,1927.55,1958.96,1918.68,1949.9,516066
2018-01-18,1948.65,1957.49,1925.97,1926.71,398621
2018-01-19,1931.48,1933.8,1901.03,1910.21,634513
2018-01-22,1910.0,1926.69,1901.0,1915.77,398161
2018-01-23,1927.55,1969.36,1924.99,1962.94,472045
2018-01-24,1977.91,1984.94,1942.65,1955.24,405271
2018-01-25,1966.88,1976.6,1945.47,1949.67,330213
2018-01-26,1960.99,1964.96,1944.96,1950.48,380498
2018-01-29,1942.67,1960.46,1921.25,1929.23,449076
2018-01-30,1907.12,1933.13,1900.33,1921.53,382257
2018-01-31,1928.01,1934.97,1896.0,1912.05,452775
2018-02-01,1903.99,1928.84,1893.39,1903.69,360015
2018-02-02,1890.13,1900.0,1856.57,1859.1,513771
2018-02-05,1841.3,1872.61,1816.5,1825.93,548191
2018-02-06,1800.01,1864.0,1800.01,1858.66,564479
2018-02-07,1847.39,1900.37,1836.68,1882.68,491231
2018-02-08,1884.21,1889.28,1803.01,1806.06,677102
2018-02-09,1767.98,1824.0,1714.07,1765.0,1137502
2018-02-12,1773.99,1801.69,1732.35,1790.0,682342
2018-02-13,1779.23,1804.83,1762.0,1797.86,375764
2018-02-14,1784.22,1825.83,1773.02,1818.41,452419
2018-02-15,1850.86,1875.82,1836.09,1870.25,491255
2018-02-16,1874.62,1926.87,1868.68,1885.0,559426
2018-02-20,1883.07,1915.32,1880.93,1894.62,407957
2018-02-21,1913.42,1916.04,1880.66,1880.68,518735
2018-02-22,1884.19,1907.75,1870.72,1877.14,432450
2018-02-23,1889.73,1907.81,1875.16,1907.02,555264
2018-02-26,1905.95,1923.22,1897.66,1905.64,570074
2018-02-27,1884.0,1919.75,1870.02,1905.01,661915
2018-02-28,2051.0,2087.34,2034.04,2034.04,1441073
2018-03-01,2034.61,2053.54,1998.83,2028.37,837536
2018-03-02,2002.82,2037.87,1995.58,2033.79,642399
2018-03-05,2020.0,2077.0,2014.89,2072.66,614827
2018-03-06,2075.1,2095.87,2058.81,2085.51,533079
2018-03-07,2065.0,2127.96,2065.0,2122.93,580288
2018-03-08,2137.99,2169.15,2130.68,2150.08,584365
2018-03-09,2169.0,2177.96,2159.07,2170.61,489399
2018-03-12,2180.0,2218.1,2174.07,2206.09,530129
2018-03-13,2210.93,2228.99,2162.18,2170.0,519248
2018-03-14,2175.55,2194.58,2162.33,2188.9,344491
2018-03-15,2190.01,2207.57,2171.1,2187.77,335960
2018-03-16,2196.19,2198.58,2169.77,2171.49,474016
2018-03-19,2161.62,2165.76,2124.89,2146.89,450756
2018-03-20,2139.45,2167.69,2138.03,2139.11,256813
2018-03-21,2142.3,2165.82,2134.58,2144.98,297464
2018-03-22,2132.89,2154.54,2101.83,2113.8,443289
2018-03-23,2116.24,2138.99,2086.14,2087.01,412549
2018-03-26,2111.22,2142.38,2079.02,2133.71,292693
2018-03-27,2137.43,2140.24,2056.51,2077.56,428799
2018-03-28,2066.98,2083.92,2020.7,2054.69,632469
2018-03-29,2059.67,2094.18,2040.72,2080.39,395822
2018-04-02,2070.43,2074.01,2009.92,2030.86,372329
2018-04-03,2050.0,2079.99,2036.07,2067.57,378399
2018-04-04,2043.21,2081.88,2014.18,2071.01,385903
2018-04-05,2077.53,2102.45,2071.0,2091.09,320082
2018-04-06,2074.9,2095.61,2025.54,2033.41,350440
2018-04-09,2053.74,2088.81,2045.0,2048.74,355678
2018-04-10,2076.02,2087.23,2058.0,2077.59,291704
2018-04-11,2067.64,2104.78,2065.04,2080.65,306745
2018-04-12,2094.45,2102.65,2082.15,2085.81,240638
2018-04-13,2104.67,2104.67,2077.32,2085.86,261993
2018-04-16,2094.11,2117.64,2085.77,2096.59,194537
2018-04-17,2119.9,2172.0,2112.5,2162.31,438202
2018-04-18,2171.62,2186.05,2156.22,2180.6,297155
2018-04-19,2175.49,2186.05,2155.97,2158.95,264915
2018-04-20,2161.03,2167.47,2118.62,2131.37,414661
2018-04-23,2133.1,2150.3,2112.69,2133.69,253547
2018-04-24,2137.61,2151.98,2055.13,2067.29,393470
2018-04-25,2061.12,2089.84,2034.56,2077.61,267770
2018-04-26,2098.01,2116.15,2078.01,2111.8,355999
2018-04-27,2146.02,2172.0,2123.09,2141.72,458187
2018-04-30,2143.65,2193.06,2133.81,2178.0,467983
2018-05-01,2170.4,2182.34,2151.79,2179.39,279064
2018-05-02,2176.27,2185.7,2148.99,2149.82,268082
2018-05-03,2149.0,2161.45,2116.7,2152.21,270993
2018-05-04,2148.6,2178.82,2126.0,2175.71,303258
2018-05-07,2189.9,2201.84,2172.59,2194.96,344893
