date,open,high,low,close,volume
2018-01-02,102.88,104.7,102.27,104.41,4669201
2018-01-03,104.9,106.14,104.62,105.29,3888668
2018-01-04,106.0,107.66,105.765,106.68,4540214
2018-01-05,107.76,108.295,107.2,108.1,3368399
2018-01-08,108.0,109.14,107.57,108.86,2933620
2018-01-09,109.0,109.34,108.2499,109.15,3302271
2018-01-10,108.675,109.49,108.225,108.8,3113335
2018-01-11,109.0,109.4,108.67,109.1,3668120
2018-01-12,109.23,110.71,108.91,110.24,5749471
2018-01-16,110.85,111.44,108.23,108.89,5790819
2018-01-17,109.75,110.38,109.23,110.04,4254674
2018-01-18,110.23,112.17,110.215,111.77,3842823
2018-01-19,112.21,112.4,111.61,111.93,3120889
2018-01-22,111.63,112.96,111.01,112.89,2214707
2018-01-23,113.18,113.76,112.681,113.24,2816839
2018-01-24,113.63,113.84,112.5,112.85,4975487
2018-01-25,113.28,113.47,111.9,111.96,4715109
2018-01-26,112.72,113.92,112.03,113.7,3927448
2018-01-29,113.7,114.41,112.85,113.3,3181484
2018-01-30,112.42,113.45,111.84,112.23,3737729
2018-01-31,113.06,114.52,112.64,113.91,4181752
2018-02-01,113.3,114.27,112.53,112.74,4302769
2018-02-02,112.03,112.35,110.71,110.78,4403837
2018-02-05,109.15,111.61,107.5,107.65,6123968
2018-02-06,105.01,109.62,103.69,109.57,6857941
2018-02-07,109.07,112.29,108.81,110.05,4515370
2018-02-08,110.1,110.18,104.0,104.03,6803753
2018-02-09,105.32,108.11,102.37,106.98,6615838
2018-02-12,107.7,109.48,106.26,108.55,4624113
2018-02-13,108.01,108.08,105.93,107.69,7542752
2018-02-14,106.73,109.22,106.73,109.02,7427952
2018-02-15,112.31,113.43,110.05,113.12,8341909
2018-02-16,112.84,114.15,112.67,112.86,4667328
2018-02-20,112.45,115.26,112.282,114.35,4287773
2018-02-21,114.77,115.67,114.17,114.48,4976536
2018-02-22,114.52,115.0,112.481,113.0,4763427
2018-02-23,113.63,114.96,112.74,114.96,4173529
2018-02-26,116.11,116.8,115.365,116.65,5418949
2018-02-27,117.3,117.61,115.76,116.47,5908216
2018-02-28,117.0,118.15,116.22,116.25,9684436
2018-03-01,120.91,122.47,118.05,119.43,15555500
2018-03-02,118.65,122.33,117.64,121.92,10627548
2018-03-05,120.0,122.94,119.66,122.5,10121251
2018-03-06,122.87,124.69,122.75,124.48,8154828
2018-03-07,123.38,125.77,123.1789,125.33,6750393
2018-03-08,125.76,127.29,125.7,126.36,6127919
2018-03-09,127.19,127.5,126.25,127.41,5637799
2018-03-12,127.87,128.2,126.78,126.78,5609794
2018-03-13,127.89,128.11,125.727,126.73,4641762
2018-03-14,127.05,128.87,126.51,127.99,5402432
2018-03-15,128.0,128.46,126.67,127.22,4603474
2018-03-16,127.29,127.95,125.69,125.97,6662884
2018-03-19,125.03,125.76,123.47,124.98,6830383
2018-03-20,124.59,126.83,124.45,125.12,7113554
2018-03-21,121.56,124.02,120.2,121.7,14824039
2018-03-22,120.4,120.66,117.44,118.04,10950478
2018-03-23,118.01,118.31,114.31,114.43,10902124
2018-03-26,118.24,119.26,115.04,118.97,13171665
2018-03-27,120.09,120.16,112.715,113.81,8304669
2018-03-28,113.15,114.86,111.34,112.88,6489512
2018-03-29,113.91,117.26,112.52,116.3,7794691
2018-04-02,115.91,117.68,113.61,115.3,6461251
2018-04-03,116.76,117.45,114.6,116.49,5193332
2018-04-04,114.06,119.675,114.0,119.48,6389309
2018-04-05,120.4,121.035,118.67,119.04,5052398
2018-04-06,118.1,118.98,114.951,116.1,5385492
2018-04-09,117.14,119.23,117.14,117.19,4104150
2018-04-10,118.92,120.12,117.68,119.49,3761181
2018-04-11,119.33,120.71,118.87,119.16,3059409
2018-04-12,120.0,121.73,119.34,121.4,4419885
2018-04-13,121.94,121.94,118.5,119.01,4933058
2018-04-16,120.95,120.98,118.66,119.41,4464686
2018-04-17,120.4,123.86,120.01,123.35,5524566
2018-04-18,123.53,124.74,122.23,124.46,4321753
2018-04-19,124.04,124.52,123.18,124.06,3656957
2018-04-20,124.01,124.38,122.05,122.82,2971019
2018-04-23,123.19,124.57,121.24,121.89,3932668
2018-04-24,123.34,123.53,116.91,117.88,5379304
2018-04-25,117.77,118.23,115.04,117.32,4972939
2018-04-26,118.7,122.07,118.16,120.83,4998816
2018-04-27,121.63,121.64,119.55,120.22,3801182
2018-04-30,120.87,121.7,119.78,120.99,2788268
2018-05-01,120.88,123.32,120.42,123.11,3873908
2018-05-02,122.29,123.97,121.74,122.82,3671020
2018-05-03,122.62,125.0,121.67,124.41,4435617
2018-05-04,124.38,125.84,122.98,125.12,6341164
2018-05-07,125.79,127.69,125.46,126.97,4341967
