date,open,high,low,close,volume
2018-01-02,38.0776,38.3533,37.8413,38.2647,20135657
2018-01-03,38.1268,38.6832,37.9397,38.5699,29536019
2018-01-04,38.7386,39.2247,38.6195,38.6791,20731358
2018-01-05,39.2346,39.562,39.0511,39.2147,24588152
2018-01-08,39.2048,39.6413,39.0362,39.6215,16581967
2018-01-09,39.4727,39.6413,39.2247,39.3735,21449790
2018-01-10,39.3338,39.9191,39.314,39.5917,19473023
2018-01-11,39.8199,39.8893,39.433,39.7802,21685577
2018-01-12,39.8992,40.6036,39.7306,40.5441,23770515
2018-01-16,40.5738,40.8317,39.9984,40.2167,32844965
2018-01-17,40.5143,40.9905,40.3804,40.8714,24427130
2018-01-18,40.9111,41.1492,40.7028,40.9706,19610169
2018-01-19,40.9508,41.1889,40.7722,40.9607,24582041
2018-01-22,40.8714,41.3278,40.6929,41.3278,22995116
2018-01-23,41.2087,41.794,41.2087,41.7643,23984518
2018-01-24,41.8635,42.3446,41.675,41.8337,26696212
2018-01-25,41.9329,42.1313,41.4865,41.5658,19207511
2018-01-26,41.8139,42.2206,41.6154,42.2206,23380407
2018-01-29,41.9627,42.6372,41.9627,42.5083,23625873
2018-01-30,42.3446,42.5182,41.6353,41.9131,28993938
2018-01-31,41.6452,41.675,41.0202,41.2087,36512097
2018-02-01,40.7623,41.7742,40.3457,41.3674,26148507
2018-02-02,41.169,41.6154,40.5441,40.6036,27224206
2018-02-05,40.5441,41.0748,38.4112,38.4707,52399572
2018-02-06,38.0243,39.9836,37.0521,39.8496,55171559
2018-02-07,39.9885,40.8774,39.7108,40.0183,32690837
2018-02-08,40.1175,40.4349,38.4112,38.4608,42982066
2018-02-09,38.689,39.6016,37.9251,39.2147,51304217
2018-02-12,40.1919,40.5837,39.9042,40.2762,38210735
2018-02-13,40.177,40.9806,39.8992,40.9012,30999078
2018-02-14,40.7127,41.923,40.6631,41.7543,43835852
2018-02-15,44.7056,44.7701,42.915,43.7285,72267456
2018-02-16,43.535,44.7304,43.4408,43.9765,39267531
2018-02-20,43.6491,44.3336,43.4606,43.7086,29006862
2018-02-21,43.7582,44.0658,42.9348,42.9646,28499215
2018-02-22,43.1432,43.2126,42.4091,42.5976,25887633
2018-02-23,43.0241,43.6888,42.5777,43.6491,25781446
2018-02-26,43.9467,45.0875,43.7781,44.9983,27771122
2018-02-27,45.0479,45.2463,44.2642,44.6808,27419328
2018-02-28,44.909,45.524,44.4229,44.4229,26885228
2018-03-01,44.3237,44.6411,43.0043,43.4507,32154328
2018-03-02,42.9448,43.8673,42.7563,43.7086,28848064
2018-03-05,43.5697,44.408,43.3515,44.165,22101667
2018-03-06,44.2939,44.4278,43.783,43.9368,21929955
2018-03-07,43.6789,44.036,43.4507,43.8475,22034446
2018-03-08,43.8971,44.0558,43.5846,43.9864,20285571
2018-03-09,44.2642,45.1768,44.2542,45.0082,22230941
2018-03-12,45.1669,45.5042,45.0379,45.1867,18299843
2018-03-13,45.4149,45.7919,44.5618,44.7998,23411226
2018-03-14,44.9784,45.3938,44.7304,44.9189,21141074
2018-03-15,44.9387,45.3703,44.7602,44.9685,23520380
2018-03-16,44.9685,45.2363,44.6114,44.651,56129032
2018-03-19,44.2344,44.4626,43.5499,43.9169,26734062
2018-03-20,44.1352,44.284,43.8277,44.0161,22809746
2018-03-21,43.8872,44.5419,43.7811,43.9566,22528153
2018-03-22,43.411,43.6689,42.6769,42.7265,29520761
2018-03-23,43.3614,43.4904,42.0817,42.0817,31759225
2018-03-26,42.9051,43.8078,42.4884,43.7086,29731870
2018-03-27,44.1352,44.165,41.9031,42.3396,30941960
2018-03-28,42.171,42.4984,41.2881,41.3278,36696770
2018-03-29,41.6055,42.5876,41.2484,42.548,55021225
2018-04-02,42.1809,42.29,40.2068,40.6829,36791764
2018-04-03,41.0103,41.169,40.3953,41.05,28003925
2018-04-04,40.39,41.55,40.19,41.2,30117558
2018-04-05,41.5,42.02,41.38,41.82,29331612
2018-04-06,41.4,41.68,40.45,40.73,32208693
2018-04-09,40.95,42.06,40.9,41.17,25725786
2018-04-10,42.1,42.71,41.75,42.51,22781594
2018-04-11,42.42,42.9,42.26,42.43,21692969
2018-04-12,42.78,43.64,42.73,43.34,22297010
2018-04-13,43.55,43.74,42.64,43.0,18272320
2018-04-16,43.12,43.64,43.03,43.3,15807853
2018-04-17,43.85,44.75,43.705,44.59,21474572
2018-04-18,44.61,44.92,44.295,44.63,17605321
2018-04-19,44.42,44.95,44.38,44.56,21472349
2018-04-20,44.5,44.75,43.62,44.09,23539219
2018-04-23,44.26,44.475,43.87,44.25,20716812
2018-04-24,44.43,44.91,43.33,43.74,21421528
2018-04-25,43.8,43.99,42.75,43.71,21706045
2018-04-26,43.98,44.49,43.44,44.21,20549341
2018-04-27,44.69,45.34,44.36,44.71,20077392
2018-04-30,44.92,45.18,44.28,44.29,19958464
2018-05-01,43.91,44.95,43.83,44.83,16865524
2018-05-02,44.91,45.05,43.8,43.86,23601562
2018-05-03,44.0084,44.81,43.44,44.44,23750207
2018-05-04,44.01,45.5,43.9,45.3,19504140
2018-05-07,45.36,46.0,45.3,45.73,17822387
