date,open,high,low,close,volume
2018-01-02,81.53,82.52,81.5,82.43,665592
2018-01-03,82.57,84.03,82.46,83.3,1599383
2018-01-04,83.41,84.95,83.2731,84.78,1386832
2018-01-05,85.0,85.66,84.8,85.4,694669
2018-01-08,85.09,85.47,84.75,85.38,1038979
2018-01-09,85.5,85.5,84.23,84.28,777118
2018-01-10,83.8,84.62,83.39,84.61,678536
2018-01-11,85.51,86.84,85.3,86.83,913555
2018-01-12,86.87,87.33,86.18,86.75,1538168
2018-01-16,87.23,87.74,85.94,86.09,693913
2018-01-17,86.82,88.44,86.085,88.11,767503
2018-01-18,88.07,88.52,87.63,88.39,960839
2018-01-19,88.27,88.95,88.1,88.49,860277
2018-01-22,88.56,89.44,87.74,88.93,1332552
2018-01-23,88.67,89.5,88.53,89.11,831312
2018-01-24,89.0,89.88,87.7565,88.37,792120
2018-01-25,88.79,89.2,87.77,88.44,775098
2018-01-26,91.43,92.4,76.53,82.74,35703594
2018-01-29,84.0,86.04,72.22,74.8,18466281
2018-01-30,73.4,73.54,69.34,70.08,6050927
2018-01-31,70.87,73.37,70.38,71.7,5984427
2018-02-01,71.23,72.39,69.82,70.25,4684743
2018-02-02,70.96,72.35,68.705,70.9,5468208
2018-02-05,70.16,71.45,67.44,67.58,3299276
2018-02-06,66.0,68.46,65.31,67.23,3120340
2018-02-07,67.11,68.97,66.765,66.77,2017347
2018-02-08,66.76,67.73,65.37,65.62,3440746
2018-02-09,66.55,67.93,64.96,67.3,2584909
2018-02-12,67.58,68.75,67.03,68.03,2289978
2018-02-13,67.5,68.76,67.1,68.3,1791336
2018-02-14,67.91,70.049,67.75,69.87,1751306
2018-02-15,70.4,70.489,68.39,69.03,1262640
2018-02-16,69.0,70.66,68.77,69.79,1266514
2018-02-20,69.24,70.1,68.83,69.82,1487395
2018-02-21,70.0,71.1,69.77,69.92,1297134
2018-02-22,70.32,71.2,69.8,70.56,1579684
2018-02-23,71.13,72.14,70.78,71.78,1315213
2018-02-26,72.13,72.89,71.64,72.39,826233
2018-02-27,72.65,73.2,72.18,72.74,1118007
2018-02-28,73.87,75.42,73.7675,74.29,1951979
2018-03-01,74.08,77.42,71.76,75.37,5707584
2018-03-02,72.84,74.09,70.31,73.66,2416140
2018-03-05,73.26,74.25,72.27,74.0,1884950
2018-03-06,74.32,75.8,74.32,75.6,1732652
2018-03-07,75.14,77.53,75.111,77.3,2179598
2018-03-08,77.52,79.84,77.0201,77.42,1987404
2018-03-09,77.53,78.64,76.77,78.48,1279832
2018-03-12,78.7,79.26,77.41,77.78,1347541
2018-03-13,77.91,77.995,76.69,77.34,1420748
2018-03-14,77.5,78.0999,76.82,77.82,920749
2018-03-15,78.0,78.12,77.07,77.62,1151086
2018-03-16,77.9,78.5,77.58,77.96,1228337
2018-03-19,77.56,78.1,76.65,77.97,1151859
2018-03-20,77.51,79.06,77.51,78.24,865695
2018-03-21,78.19,78.19,75.9,76.0,1170012
2018-03-22,75.44,75.67,74.35,74.46,1468799
2018-03-23,74.42,76.25,72.99,73.14,1985455
2018-03-26,74.36,75.39,73.56,75.13,1115488
2018-03-27,75.62,76.18,73.22,73.68,1198449
2018-03-28,73.66,73.85,71.7,72.1,1522888
2018-03-29,72.17,73.62,71.76,73.21,1441145
2018-04-02,73.3,73.85,70.85,72.56,1150510
2018-04-03,72.75,73.186,71.57,72.82,879390
2018-04-04,71.7,73.23,71.26,72.97,681765
2018-04-05,73.53,73.94,72.15,72.81,768361
2018-04-06,72.38,72.91,70.72,71.29,811955
2018-04-09,71.5,73.35,71.38,71.9,721622
2018-04-10,73.05,73.44,72.06,72.79,757659
2018-04-11,72.56,73.02,71.74,71.93,453829
2018-04-12,72.18,73.08,72.0,72.68,621405
2018-04-13,73.02,73.38,72.03,72.9,816156
2018-04-16,75.2,75.7,72.46,74.35,2392062
2018-04-17,74.7,75.76,74.17,75.39,2387322
2018-04-18,76.67,76.9,75.35,75.79,1766848
2018-04-19,75.27,75.66,73.53,73.9,1096066
2018-04-20,73.4,74.07,71.875,72.67,1916834
2018-04-23,72.86,73.29,72.33,73.09,1110042
2018-04-24,73.39,74.0,72.04,72.43,1212219
2018-04-25,72.04,72.71,70.91,71.78,668664
2018-04-26,72.07,73.245,71.83,72.97,601677
2018-04-27,73.3,73.85,72.55,72.62,704672
2018-04-30,72.66,73.05,71.01,71.77,1076242
2018-05-01,71.46,72.08,70.67,71.41,1028338
2018-05-02,71.28,71.5,70.38,70.7,1154518
2018-05-03,70.78,71.32,69.13,71.2,1403548
2018-05-04,70.87,73.545,70.58,72.95,840868
2018-05-07,73.0,74.1,72.31,72.49,577528
