date,open,high,low,close,volume
2018-01-02,120.3068,122.3312,119.6785,121.0846,1550213
2018-01-03,124.1362,127.3972,123.9567,124.8243,2451030
2018-01-04,125.5722,126.3002,123.5977,125.7916,2261723
2018-01-05,126.1207,126.9983,125.0636,126.7689,1618081
2018-01-08,126.2104,127.9257,125.7517,127.8559,1760509
2018-01-09,128.0753,128.524,126.729,126.9285,1283389
2018-01-10,127.7761,127.7761,126.0309,126.8287,1234133
2018-01-11,129.6509,130.8675,127.9855,129.0526,2483382
2018-01-12,129.98,132.4222,128.5141,131.9944,2245457
2018-01-16,132.4532,133.3108,129.5413,130.2393,3182351
2018-01-17,131.4559,131.4559,128.893,130.2792,1885220
2018-01-18,129.9501,130.0548,126.3999,126.5395,2824603
2018-01-19,127.078,127.806,124.2559,125.9212,2319076
2018-01-22,126.1706,127.8996,125.0437,127.8359,1509715
2018-01-23,127.8359,128.7135,127.2077,128.5739,1489885
2018-01-24,130.0099,131.3362,129.0825,130.0698,1701225
2018-01-25,131.3961,131.8648,130.0897,130.7479,1407463
2018-01-26,131.5357,131.9346,130.4986,131.3961,1538668
2018-01-29,131.2365,131.3861,129.0221,130.0398,1296683
2018-01-30,129.6409,129.98,127.6265,128.534,1437746
2018-01-31,128.8132,129.262,126.719,127.6564,1334174
2018-02-01,126.8985,130.2792,126.8985,128.7534,2196097
2018-02-02,127.9955,128.4841,125.6221,126.2902,1909019
2018-02-05,124.9838,127.8858,124.1661,124.7046,3227631
2018-02-06,123.0293,127.8659,122.8099,126.9285,3570871
2018-02-07,126.7789,132.0752,126.1805,128.9728,3157948
2018-02-08,128.7733,130.5684,121.9672,122.6902,4892256
2018-02-09,104.71,107.6917,98.2479,103.7128,17183644
2018-02-12,103.8823,105.438,100.1028,102.536,4820580
2018-02-13,101.7881,102.6357,99.9133,101.4789,2958075
2018-02-14,100.4119,100.8208,98.8063,99.8235,4011129
2018-02-15,101.1997,102.6855,98.7964,101.9476,3931760
2018-02-16,101.7183,103.982,101.1598,103.5632,2685789
2018-02-20,103.4634,105.8867,102.4562,103.8125,2951229
2018-02-21,104.2413,105.0191,102.6158,102.7055,2056508
2018-02-22,102.8551,104.5405,102.0274,104.2413,2137319
2018-02-23,104.8396,106.5449,103.982,106.0862,2413446
2018-02-26,106.2956,107.1682,104.9194,106.3255,1796082
2018-02-27,105.7471,106.6446,103.4036,103.4236,2502156
2018-02-28,105.1189,106.3056,103.6429,104.8795,2175844
2018-03-01,104.7,105.3033,102.4463,103.6729,2074500
2018-03-02,102.7155,104.5704,101.0873,104.2114,1882431
2018-03-05,104.1017,108.2701,103.5133,107.3626,2308736
2018-03-06,107.6818,109.0779,106.6646,108.31,1583204
2018-03-07,107.94,112.36,107.4355,111.35,3210228
2018-03-08,111.41,112.58,109.75,110.33,1822739
2018-03-09,110.98,112.63,110.07,112.22,1948406
2018-03-12,112.77,114.99,112.1701,114.44,1774109
2018-03-13,114.42,114.605,109.16,109.53,3526829
2018-03-14,107.8,114.483,106.41,113.28,5394247
2018-03-15,111.92,112.79,110.16,112.45,3626455
2018-03-16,112.87,114.36,112.15,113.2,2793812
2018-03-19,112.63,113.02,110.26,111.09,1627953
2018-03-20,111.05,111.86,108.64,110.31,2610061
2018-03-21,110.58,111.85,109.0,109.24,1421512
2018-03-22,108.04,108.91,105.64,106.98,2330971
2018-03-23,107.13,107.49,105.62,106.11,1944587
2018-03-26,107.59,107.63,104.52,106.84,2477926
2018-03-27,107.27,107.61,104.82,105.59,2215540
2018-03-28,105.11,108.865,104.16,106.32,2366650
2018-03-29,106.71,110.99,106.5301,110.41,2239595
2018-04-02,109.58,110.29,105.88,106.79,2563433
2018-04-03,106.91,107.44,105.8518,106.97,1930912
2018-04-04,105.3,109.67,105.12,109.26,1778337
2018-04-05,110.05,111.19,109.82,110.11,1339398
2018-04-06,109.71,109.91,106.47,107.55,1671929
2018-04-09,107.95,109.7,107.12,107.25,1613114
2018-04-10,108.0,109.52,107.14,108.49,1749921
2018-04-11,107.65,108.61,107.115,107.5,1587392
2018-04-12,107.93,109.22,106.1,107.2,2395137
2018-04-13,107.33,108.13,106.51,107.2,963387
2018-04-16,108.15,109.5,106.44,109.16,1373520
2018-04-17,110.0,111.34,108.97,110.45,1411132
2018-04-18,110.72,111.0,109.04,110.28,1659129
2018-04-19,109.71,111.98,109.65,111.37,1688927
2018-04-20,110.96,111.29,108.8625,109.77,1580679
2018-04-23,110.0,112.3,109.165,110.39,2203778
2018-04-24,111.36,112.88,109.911,110.78,2243600
2018-04-25,109.95,110.0,106.22,108.44,3377883
2018-04-26,108.64,109.415,105.87,106.35,6906763
2018-04-27,116.4775,118.0,113.76,115.07,6929687
2018-04-30,115.82,116.62,113.4,115.14,2279107
2018-05-01,114.33,115.11,112.78,113.5,1927153
2018-05-02,113.51,115.4212,112.93,114.43,1261760
2018-05-03,113.99,114.0,110.4,111.28,2120811
2018-05-04,110.85,111.155,109.34,110.12,2428962
2018-05-07,110.71,112.9,110.17,110.95,1613844
