date,open,high,low,close,volume
2018-01-02,64.4668,65.3669,63.7545,64.6448,1372321
2018-01-03,64.9416,65.723,64.4865,64.9416,2463267
2018-01-04,65.4065,66.2177,64.813,65.6835,2213628
2018-01-05,65.6241,66.5639,65.2977,65.9802,1731972
2018-01-08,65.8418,67.9883,65.7824,67.8301,1616048
2018-01-09,68.1268,68.6808,67.4245,67.4739,2389095
2018-01-10,67.5135,68.2554,67.2266,67.5333,1759914
2018-01-11,67.84,70.2833,67.652,69.2842,2470290
2018-01-12,68.572,69.6106,68.3543,69.5018,1963421
2018-01-16,69.7788,70.5207,68.8885,68.9775,1849267
2018-01-17,69.2446,70.8669,69.1061,69.8678,2156959
2018-01-18,69.9272,70.3723,69.2644,69.2743,1588676
2018-01-19,68.5423,70.5801,67.2069,70.3624,1488816
2018-01-22,70.3624,70.5702,69.6205,70.3525,1864314
2018-01-23,70.3328,71.2923,69.6898,70.7977,1588021
2018-01-24,71.1043,71.5099,68.6412,70.6097,2713889
2018-01-25,71.8462,73.3202,70.2536,72.8948,3512581
2018-01-26,73.4488,73.6268,71.9452,73.2905,1611261
2018-01-29,72.6376,74.2105,71.688,73.5279,2482918
2018-01-30,72.8157,73.1223,70.8274,71.9254,2180717
2018-01-31,72.0045,72.6574,70.8175,71.2527,1631306
2018-02-01,71.6187,72.8355,71.1835,72.1628,1458413
2018-02-02,71.5396,71.6484,69.2743,69.3534,1593963
2018-02-05,68.4236,69.8876,67.4146,67.5531,2443563
2018-02-06,65.9209,68.4632,65.5747,67.9488,2665098
2018-02-07,67.9685,69.5216,66.3067,66.7419,2176194
2018-02-08,66.8013,67.2662,64.1601,64.17,2756860
2018-02-09,64.85,65.19,61.3,63.62,3053872
2018-02-12,64.55,65.65,63.8,64.64,2826121
2018-02-13,64.13,64.54,63.42,63.73,2739537
2018-02-14,62.88,66.89,62.28,66.12,2160179
2018-02-15,65.87,66.12,64.055,65.73,1899003
2018-02-16,65.28,66.3,65.14,65.46,1280003
2018-02-20,65.61,66.25,64.2,64.51,943972
2018-02-21,64.22,65.8,64.03,64.46,1155703
2018-02-22,65.24,67.085,65.175,65.39,978772
2018-02-23,65.7,67.05,65.49,66.86,973700
2018-02-26,67.35,67.59,66.29,67.43,701271
2018-02-27,67.27,68.35,66.39,66.53,1713516
2018-02-28,66.85,66.99,64.54,64.55,1312159
2018-03-01,64.43,65.81,64.15,65.18,1186183
2018-03-02,64.5,67.04,63.4442,66.79,1213026
2018-03-05,66.08,67.3,65.505,66.61,1638916
2018-03-06,67.07,67.26,65.22,66.56,1196717
2018-03-07,65.69,66.59,64.37,65.12,1755567
2018-03-08,65.25,65.31,63.82,65.02,1470006
2018-03-09,66.49,68.06,66.0154,66.89,2032773
2018-03-12,66.59,67.0,65.42,65.81,1369225
2018-03-13,66.11,66.29,64.26,64.63,1658480
2018-03-14,65.05,65.18,64.23,64.61,1092159
2018-03-15,64.69,65.05,62.33,62.64,1695291
2018-03-16,62.65,64.67,62.38,64.56,4460157
2018-03-19,64.58,64.89,63.82,64.68,1465064
2018-03-20,65.1,65.96,64.97,65.31,1205536
2018-03-21,65.89,69.19,65.49,68.88,2621270
2018-03-22,67.71,68.185,66.29,66.35,1674183
2018-03-23,66.97,68.17,66.33,66.46,1401022
2018-03-26,67.34,67.96,66.68,67.72,1091538
2018-03-27,68.0,68.26,66.09,66.48,1148737
2018-03-28,66.47,66.73,64.41,64.58,991337
2018-03-29,64.94,66.81,64.94,66.56,1237149
2018-04-02,65.8,66.53,63.51,64.59,875364
2018-04-03,65.11,66.55,64.15,66.42,1014884
2018-04-04,64.89,66.35,64.53,66.29,1246476
2018-04-05,66.72,68.18,66.5294,67.43,1556952
2018-04-06,66.91,67.34,64.25,65.45,1045963
2018-04-09,65.63,66.85,65.28,65.9,880360
2018-04-10,67.08,70.22,67.08,69.61,1760841
2018-04-11,70.27,72.15,69.89,71.51,2010946
2018-04-12,71.54,73.45,71.018,72.51,1607589
2018-04-13,72.77,74.07,72.47,73.05,1314904
2018-04-16,73.04,73.11,71.95,72.19,982705
2018-04-17,72.46,72.88,71.88,72.38,803784
2018-04-18,73.52,74.36,73.01,73.6,1682048
2018-04-19,73.78,73.9,72.06,73.0,2732271
2018-04-20,72.71,72.71,71.4891,72.33,1079633
2018-04-23,71.94,72.52,71.25,72.41,1136340
2018-04-24,72.69,73.0,71.108,71.58,1003149
2018-04-25,71.29,72.34,70.35,72.13,1443467
2018-04-26,72.24,72.88,70.46,71.67,1176853
2018-04-27,71.55,71.55,69.88,70.37,1449338
2018-04-30,70.27,71.09,69.43,69.55,1268801
2018-05-01,68.8,69.29,68.06,68.9,1283148
2018-05-02,68.45,69.84,68.3503,68.93,1245119
2018-05-03,68.83,69.35,67.719,69.14,878639
2018-05-04,69.07,70.38,68.8501,69.9,646605
2018-05-07,70.38,70.935,68.39,68.67,2061109
