date,open,high,low,close,volume
2018-01-02,152.9936,153.3006,152.043,152.7461,4202503
2018-01-03,155.8059,158.2519,154.8058,156.9447,9441567
2018-01-04,158.0934,160.741,157.8161,160.1234,7556249
2018-01-05,160.8562,161.3117,159.5303,160.9057,5195764
2018-01-08,161.0741,162.3069,160.1244,161.8762,5237523
2018-01-09,162.302,162.9258,161.4702,162.2327,4341810
2018-01-10,161.3216,162.7278,160.9156,162.5792,4174105
2018-01-11,163.1932,163.3318,161.7078,162.5991,3794453
2018-01-12,162.4208,163.1338,161.4405,161.5494,5031886
2018-01-16,163.4903,163.6784,161.7573,162.2525,7794195
2018-01-17,166.3719,167.4763,165.6292,167.0057,11710033
2018-01-18,168.3425,169.4615,166.5105,167.4711,14259345
2018-01-19,162.8565,163.7874,159.7273,160.7869,21172488
2018-01-22,159.9353,162.3812,159.5392,161.0146,8480795
2018-01-23,161.2325,164.639,160.9255,164.6291,7466232
2018-01-24,165.1242,167.075,163.213,163.7576,5645003
2018-01-25,164.2924,165.1539,163.5794,163.8567,3302520
2018-01-26,164.5003,165.7819,164.1735,165.7084,3787913
2018-01-29,165.8174,166.7482,164.3914,165.1737,3516995
2018-01-30,164.5895,165.144,161.5642,162.0247,4902341
2018-01-31,162.1534,163.3813,161.1741,162.1039,4072830
2018-02-01,161.5989,162.5297,160.3215,160.8166,4434242
2018-02-02,160.1234,160.4205,157.3174,157.4795,5251938
2018-02-05,156.3506,156.9546,148.5375,151.0428,8746599
2018-02-06,148.8247,153.974,147.6562,153.8254,9867678
2018-02-07,152.6668,153.8254,151.7855,152.35,6149207
2018-02-08,152.48,153.16,147.5,147.59,6779095
2018-02-09,148.6,150.54,144.3955,149.51,7828290
2018-02-12,150.9,152.4,150.3,151.4,5881377
2018-02-13,150.9,151.179,149.64,150.75,4891010
2018-02-14,150.19,155.0,150.0,154.76,5479033
2018-02-15,155.5,156.86,153.7,156.01,5623581
2018-02-16,155.71,157.7905,155.69,156.18,4282908
2018-02-20,155.79,155.96,153.87,155.16,4489604
2018-02-21,155.43,156.79,153.9,153.96,3728571
2018-02-22,154.5,155.04,152.79,153.18,4024627
2018-02-23,154.3,155.855,154.07,155.52,3256074
2018-02-26,155.81,158.88,155.51,158.58,3610292
2018-02-27,158.46,159.78,156.53,156.55,4237283
2018-02-28,157.5,158.1399,155.8,155.83,3803512
2018-03-01,155.53,156.9742,152.79,153.81,4039339
2018-03-02,152.79,154.76,151.88,154.49,3261141
2018-03-05,154.12,157.49,153.75,156.95,3670630
2018-03-06,157.28,157.89,155.1568,155.72,3685736
2018-03-07,155.0,158.83,154.73,158.32,4607677
2018-03-08,159.0,159.57,155.07,156.21,6455612
2018-03-09,157.47,159.5825,157.3,159.31,5022238
2018-03-12,159.64,161.02,158.87,160.26,5063497
2018-03-13,160.09,162.1122,158.81,159.32,4185590
2018-03-14,160.17,160.68,157.74,158.12,3631825
2018-03-15,158.71,161.25,158.52,159.61,3870595
2018-03-16,160.06,161.98,159.64,160.26,9262656
2018-03-19,159.71,159.8899,156.45,157.35,5481983
2018-03-20,157.52,157.93,155.29,156.2,4336738
2018-03-21,156.57,158.2,155.92,156.69,3482184
2018-03-22,155.0,155.2499,152.0,152.09,4746349
2018-03-23,152.25,152.58,148.541,148.89,4440883
2018-03-26,151.21,153.657,150.28,153.37,4103904
2018-03-27,153.95,154.8697,151.16,151.91,3883745
2018-03-28,152.07,153.86,151.89,152.52,3664826
2018-03-29,153.07,153.89,151.08,153.43,3419959
2018-04-02,153.34,153.38,148.43,150.07,5150435
2018-04-03,150.8,151.0,148.3,149.85,4135696
2018-04-04,147.89,154.47,147.45,154.12,4805261
2018-04-05,154.44,154.92,153.34,154.03,3185388
2018-04-06,153.46,153.95,149.54,150.57,3672919
2018-04-09,151.8,154.66,151.7433,152.69,4413178
2018-04-10,155.03,156.605,154.75,155.39,3955952
2018-04-11,154.37,155.78,153.88,155.36,3306539
2018-04-12,156.75,158.98,156.67,158.07,5639444
2018-04-13,158.67,159.22,155.91,156.71,4057058
2018-04-16,157.99,159.14,157.67,157.89,4186755
2018-04-17,158.82,162.0,158.51,160.91,10207534
2018-04-18,152.14,152.63,148.26,148.79,20381695
2018-04-19,149.19,149.2072,146.62,147.7,8086056
2018-04-20,147.9,147.97,144.51,144.9,8265643
2018-04-23,145.03,145.96,144.33,145.86,5315625
2018-04-24,146.51,147.3,144.53,145.56,4916476
2018-04-25,145.79,146.4,144.111,145.94,7324654
2018-04-26,146.6,147.36,146.2,146.72,4265812
2018-04-27,146.84,147.25,145.66,146.48,3205482
2018-04-30,146.86,147.38,144.96,144.96,4415533
2018-05-01,144.65,145.02,143.47,145.0,4433393
2018-05-02,144.46,144.82,142.07,142.45,5194917
2018-05-03,142.13,142.23,139.9,141.99,5018592
2018-05-04,141.1,144.35,140.28,143.91,4402170
2018-05-07,144.0,144.32,142.6403,143.22,3657009
