date,open,high,low,close,volume
2018-01-02,45.8031,46.3166,45.6352,46.2673,23370791
2018-01-03,44.9044,45.6352,43.1071,44.697,116478986
2018-01-04,42.9787,44.0946,42.159,43.8774,89209119
2018-01-05,43.8774,44.5884,43.354,44.1835,41824006
2018-01-08,43.7194,44.2823,43.4132,44.1835,33733769
2018-01-09,44.144,44.2823,42.9491,43.0774,44282311
2018-01-10,42.791,43.0577,41.9121,41.9714,45734951
2018-01-11,42.2676,43.0379,41.922,42.8701,35371519
2018-01-12,42.9096,43.0577,42.475,42.7022,29973553
2018-01-16,43.0083,43.2453,42.3516,42.6034,38367181
2018-01-17,43.0034,43.8971,42.9688,43.8379,32368612
2018-01-18,43.8477,44.1786,43.6206,43.9267,26826529
2018-01-19,44.065,44.3316,43.6996,44.2625,25780217
2018-01-22,44.2428,45.2204,44.2329,45.1809,27706762
2018-01-23,45.2402,45.5167,45.0624,45.4871,22135103
2018-01-24,45.3291,45.5562,44.4008,44.9439,32464221
2018-01-25,45.3093,45.7932,44.6082,44.7365,36758746
2018-01-26,47.7782,49.5262,47.5215,49.4571,86916079
2018-01-29,48.9831,50.2175,48.7559,49.3583,46304040
2018-01-30,48.8646,49.4373,48.1338,48.1831,32814590
2018-01-31,48.6177,48.6374,46.9684,47.5412,41619914
2018-02-01,47.1018,47.8671,46.8598,47.0573,28840380
2018-02-02,46.7314,47.1956,45.5266,45.576,28663029
2018-02-05,45.7735,46.6722,43.9465,43.9662,47869041
2018-02-06,43.7674,44.6722,42.7833,44.6523,58145381
2018-02-07,44.3242,46.0343,44.0856,44.9406,37508414
2018-02-08,45.0202,45.1594,42.4948,42.5047,43151330
2018-02-09,43.2504,44.0259,41.7988,43.6978,49301141
2018-02-12,43.8967,44.9009,43.837,44.5728,28379521
2018-02-13,44.3341,44.5181,44.0011,44.2049,19517609
2018-02-14,43.8171,45.2489,43.7873,45.1196,19922010
2018-02-15,45.6167,45.7261,44.6921,45.6565,23536793
2018-02-16,45.5521,46.3227,45.2489,45.2986,21475207
2018-02-20,45.1992,46.442,45.1296,46.0542,25511962
2018-02-21,46.4022,46.79,45.6565,45.6764,27527487
2018-02-22,45.8752,46.2928,45.3582,45.5372,16946353
2018-02-23,46.0741,47.5158,46.0393,47.4561,26040911
2018-02-26,47.9234,48.8481,47.824,48.8282,26992306
2018-02-27,49.0867,50.6079,49.0271,49.6236,43624077
2018-02-28,49.8921,50.0511,48.9972,49.0072,35541183
2018-03-01,49.216,49.4297,47.1976,47.5655,36326639
2018-03-02,46.9292,48.7686,46.6905,48.699,33310592
2018-03-05,48.2913,49.5093,47.7653,49.4645,30826521
2018-03-06,49.8722,51.0355,49.8622,50.419,39132300
2018-03-07,49.8921,51.1896,49.8125,51.0255,31801943
2018-03-08,51.4928,51.7812,50.1804,50.4489,29481157
2018-03-09,50.9758,51.9999,50.7074,51.8905,32727914
2018-03-12,51.5624,51.6519,50.2102,51.2244,32044382
2018-03-13,52.2186,53.4714,51.0951,51.4829,45573922
2018-03-14,51.7613,51.8756,51.0156,51.5624,24993502
2018-03-15,51.9303,51.9999,50.5881,50.5881,25631228
2018-03-16,50.8764,51.4033,50.6974,50.8764,42559810
2018-03-19,50.4489,50.936,49.6435,50.5383,31115248
2018-03-20,50.5881,51.5127,50.5582,51.2542,22214951
2018-03-21,51.2542,51.8706,50.8764,51.2641,23239476
2018-03-22,50.4489,51.6619,50.3097,50.5383,30915970
2018-03-23,50.2997,50.6974,49.0768,49.0768,37683871
2018-03-26,50.4489,52.1888,50.0313,52.1789,39306227
2018-03-27,52.7058,52.9445,50.4886,50.8963,38777042
2018-03-28,50.2102,50.4091,48.7288,49.3154,37970859
2018-03-29,49.6932,51.7812,49.5838,51.7812,45265805
2018-04-02,51.3934,51.7414,47.0187,48.6393,67187824
2018-04-03,48.7188,49.6733,48.1322,49.4645,39432360
2018-04-04,47.824,49.8722,47.7345,49.7032,30370046
2018-04-05,49.723,50.4289,49.6833,50.0909,25115351
2018-04-06,49.5043,50.1108,48.2217,48.51,28215164
2018-04-09,48.8779,50.8167,48.8779,49.2657,31436989
2018-04-10,50.8267,51.1945,50.0511,50.9758,26417762
2018-04-11,50.6974,51.4332,50.5284,50.8068,17568432
2018-04-12,51.1945,52.9632,51.1548,52.4175,29781357
2018-04-13,52.7555,52.9047,51.3039,51.5624,20884874
2018-04-16,51.99,52.2286,51.4928,52.0993,18855458
2018-04-17,52.6064,53.3919,52.5865,53.2328,21228696
2018-04-18,53.2129,54.0431,53.0339,53.3024,22164679
2018-04-19,52.6462,52.6561,51.3139,51.9204,25422376
2018-04-20,51.8706,51.98,50.5881,51.2343,26910093
2018-04-23,51.3924,51.5923,50.5582,50.8068,21706733
2018-04-24,51.5724,53.3322,50.8466,51.1548,42494668
2018-04-25,51.5624,51.801,50.3097,51.0852,25752805
2018-04-26,51.9601,52.9643,51.7712,52.7456,39575029
2018-04-27,55.1219,55.4699,51.9303,52.4274,69888148
2018-04-30,52.2584,53.0638,50.9162,51.3238,36417370
2018-05-01,51.3437,53.1135,51.1448,53.024,27600758
2018-05-02,52.7854,52.8947,51.8508,52.0098,25778328
2018-05-03,51.5923,52.2584,50.9162,51.98,28560967
2018-05-04,51.62,52.84,51.0,52.78,25642474
2018-05-07,52.86,53.58,52.83,53.33,20285746
