date,open,high,low,close,volume
2018-01-02,85.7224,85.9065,85.1003,85.5482,22483797
2018-01-03,85.6527,86.1056,85.5681,85.9463,26061439
2018-01-04,86.1852,87.2502,86.1653,86.7028,21911974
2018-01-05,87.2502,87.9967,87.0213,87.7777,23407110
2018-01-08,87.7877,88.1659,87.195,87.8673,22113049
2018-01-09,88.2356,88.3124,87.4493,87.8076,19484317
2018-01-10,87.4493,87.7777,87.0014,87.4094,18652201
2018-01-11,87.718,87.718,86.8322,87.6682,17808877
2018-01-12,88.2555,89.3603,88.0365,89.1811,24271531
2018-01-16,89.6788,90.3656,87.599,87.937,36599736
2018-01-17,88.6636,89.8579,88.3351,89.7186,25621164
2018-01-18,89.3802,90.2461,89.2408,89.6788,24159683
2018-01-19,89.7186,90.1864,89.2408,89.5793,36875013
2018-01-22,89.5793,91.1917,89.3205,91.1817,23601555
2018-01-23,91.4704,91.8685,91.1121,91.4704,23412841
2018-01-24,92.1173,92.9932,91.1519,91.3907,33277483
2018-01-25,92.0327,92.8041,91.5002,91.8984,26383238
2018-01-26,92.6847,93.6203,92.1472,93.6203,29172167
2018-01-29,94.6952,95.0038,93.2819,93.4809,31569940
2018-01-30,92.8638,93.2221,91.6694,92.3064,38635053
2018-01-31,93.3117,94.954,93.0728,94.5658,48756338
2018-02-01,94.3469,95.6209,93.1438,93.8193,47227882
2018-02-02,93.2022,93.5307,91.0722,91.3509,47867753
2018-02-05,90.1366,92.8041,87.5886,87.5886,51031465
2018-02-06,86.4838,91.0474,84.8515,90.903,67998564
2018-02-07,90.067,91.341,88.783,89.1911,41107592
2018-02-08,89.2906,89.4548,84.3637,84.6126,55628657
2018-02-09,85.8965,88.5143,83.4381,87.7678,63499065
2018-02-12,88.3202,89.3603,87.5184,88.7133,35720341
2018-02-13,88.5143,89.5793,87.3895,89.41,26407702
2018-02-14,88.51,90.99,88.41,90.81,34960912
2018-02-15,91.21,92.72,90.62,92.66,27823866
2018-02-16,92.45,93.5,91.8,92.0,30596919
2018-02-20,91.475,93.06,91.01,92.72,30911725
2018-02-21,92.98,93.3595,91.49,91.49,26922503
2018-02-22,92.05,92.73,91.36,91.73,24392753
2018-02-23,92.75,94.07,92.36,94.06,26329226
2018-02-26,94.4,95.45,94.25,95.42,30199846
2018-02-27,95.74,95.84,94.2,94.2,25869119
2018-02-28,94.84,95.705,93.63,93.77,31167338
2018-03-01,93.99,94.57,91.84,92.85,37135561
2018-03-02,91.58,93.15,90.86,93.05,32830389
2018-03-05,92.34,94.27,92.26,93.64,23901578
2018-03-06,94.34,94.49,92.941,93.32,22175776
2018-03-07,93.16,93.9406,92.43,93.86,26716127
2018-03-08,94.27,95.1,93.765,94.43,25887828
2018-03-09,95.29,96.54,95.0,96.54,36937254
2018-03-12,96.5,97.21,96.04,96.77,26073742
2018-03-13,97.0,97.24,93.97,94.41,35387817
2018-03-14,95.12,95.41,93.5,93.85,32131981
2018-03-15,93.53,94.58,92.83,94.18,27610998
2018-03-16,94.68,95.38,93.92,94.6,49081279
2018-03-19,93.74,93.9,92.11,92.89,33344085
2018-03-20,93.05,93.77,93.0,93.13,23075240
2018-03-21,92.93,94.05,92.21,92.48,24457082
2018-03-22,91.265,91.75,89.66,89.79,38604715
2018-03-23,89.5,90.46,87.08,87.18,44068949
2018-03-26,90.61,94.0,90.4,93.78,56396780
2018-03-27,94.94,95.139,88.51,89.47,56569011
2018-03-28,89.82,91.23,88.873,89.39,52501146
2018-03-29,90.18,92.29,88.4,91.27,45867548
2018-04-02,90.47,90.88,87.51,88.52,48515417
2018-04-03,89.575,90.05,87.89,89.71,37213837
2018-04-04,87.85,92.76,87.73,92.33,35559956
2018-04-05,92.435,93.065,91.4,92.38,29771881
2018-04-06,91.49,92.46,89.48,90.23,38026000
2018-04-09,91.04,93.17,90.62,90.77,31533943
2018-04-10,92.39,93.28,91.64,92.88,26939883
2018-04-11,92.01,93.29,91.48,91.86,24872110
2018-04-12,92.43,94.16,92.43,93.58,26758879
2018-04-13,94.05,94.18,92.44,93.08,23346063
2018-04-16,94.07,94.66,93.42,94.17,20288083
2018-04-17,95.0,96.54,94.88,96.07,26771000
2018-04-18,96.22,96.72,95.52,96.44,21043287
2018-04-19,96.44,97.07,95.34,96.11,23552541
2018-04-20,95.91,96.11,94.05,95.0,31154377
2018-04-23,95.7436,96.29,94.63,95.35,22331829
2018-04-24,96.242,96.47,92.41,93.12,34524799
2018-04-25,93.3,93.3,90.28,92.31,33729257
2018-04-26,93.55,95.15,93.1,94.26,42529043
2018-04-27,97.6,97.9,93.91,95.82,48272780
2018-04-30,96.33,96.3964,93.15,93.52,41523605
2018-05-01,93.21,95.29,92.79,95.0,31408927
2018-05-02,94.99,95.17,93.19,93.51,27471002
2018-05-03,92.96,94.925,92.45,94.07,31142497
2018-05-04,93.32,95.37,92.92,95.16,22531325
2018-05-07,95.17,96.71,95.1,96.22,24242019
