date,open,high,low,close,volume
2018-01-02,195.6584,199.3761,194.3792,199.2262,8890417
2018-01-03,203.9733,213.5673,203.6235,212.3381,22867591
2018-01-04,215.626,217.9146,212.5579,213.4574,14581720
2018-01-05,214.057,216.7753,210.9489,215.2662,14503103
2018-01-08,220.2631,224.8603,218.4443,221.8621,22030422
2018-01-09,222.082,223.681,218.5042,221.8022,12424995
2018-01-10,218.0645,223.681,215.8659,223.5411,14566626
2018-01-11,224.8603,226.1295,223.0714,223.9408,10150767
2018-01-12,223.4611,224.8503,221.2025,222.8415,8997902
2018-01-16,223.9109,227.3687,216.5554,219.9733,17558687
2018-01-17,220.5629,224.9802,216.7653,224.5804,13460222
2018-01-18,223.8009,226.4993,222.5417,224.3006,10215841
2018-01-19,227.9484,230.9465,226.859,229.9671,15234486
2018-01-22,230.2869,233.6148,227.9583,233.5449,13773561
2018-01-23,235.7035,239.6811,234.955,238.7616,11880705
2018-01-24,238.8916,240.3443,233.405,235.6536,14499309
2018-01-25,237.8522,239.6011,235.6036,236.2032,10247091
2018-01-26,237.9721,243.1889,237.4524,243.1789,12908854
2018-01-29,242.5893,247.9559,240.4606,246.6967,11377853
2018-01-30,240.9603,246.267,238.2619,242.5693,14270844
2018-01-31,245.6174,249.1152,244.2982,245.6474,11964444
2018-02-01,238.3719,246.7467,237.9122,240.3507,12980572
2018-02-02,236.8528,237.8222,231.0264,233.375,17961555
2018-02-05,226.859,233.0852,204.8727,213.5673,29130140
2018-02-06,204.2731,225.5598,203.8733,225.4399,27870031
2018-02-07,229.4374,234.8241,226.5592,228.6579,20073316
2018-02-08,233.7348,235.0739,217.3749,217.3849,28599976
2018-02-09,238.102,238.7416,217.3849,231.9359,41865077
2018-02-12,235.2088,235.3338,224.8908,227.8884,27329342
2018-02-13,226.4193,234.3544,225.1101,232.4855,15638119
2018-02-14,230.8565,242.4418,230.4068,241.2701,18624749
2018-02-15,244.633,248.2158,241.37,246.3469,17472515
2018-02-16,245.2476,249.8448,243.3188,243.6886,15941426
2018-02-20,244.598,251.7136,244.4481,248.9253,17155962
2018-02-21,251.5337,251.811,241.2101,241.36,22307344
2018-02-22,242.73,245.63,239.5,242.15,13359133
2018-02-23,244.57,245.93,242.5201,245.93,10382510
2018-02-26,247.8,247.98,244.06,246.58,11732844
2018-02-27,245.5,248.91,245.13,246.06,11385899
2018-02-28,246.5,248.1,241.53,242.0,13077878
2018-03-01,241.91,244.09,228.1248,232.21,26002972
2018-03-02,227.86,236.8,221.85,236.54,22835685
2018-03-05,234.51,237.25,229.521,235.65,15519413
2018-03-06,239.1,242.94,237.36,242.16,15920243
2018-03-07,238.0,243.95,237.95,241.84,14530226
2018-03-08,242.95,242.95,239.3907,241.18,10297761
2018-03-09,243.1,245.85,242.4501,245.33,12638148
2018-03-12,247.0,253.0,246.6723,249.76,15126541
2018-03-13,251.49,254.5,246.04,247.71,15494309
2018-03-14,249.45,250.55,246.22,248.74,12637361
2018-03-15,249.29,252.62,247.64,249.34,10048837
2018-03-16,250.0,251.25,248.48,250.48,9986432
2018-03-19,248.18,249.35,237.0,241.0,17844338
2018-03-20,241.12,251.15,241.12,249.58,13867409
2018-03-21,249.32,252.0,247.33,248.56,10967216
2018-03-22,246.0,247.88,240.341,241.85,13779919
2018-03-23,242.4,242.67,232.52,232.97,18390461
2018-03-26,238.0,244.53,235.9,244.48,15285640
2018-03-27,247.75,250.0,219.845,225.52,35225012
2018-03-28,224.13,229.39,217.0,221.35,23647648
2018-03-29,224.105,235.5,220.7002,231.59,22915692
2018-04-02,228.74,234.65,217.5,221.05,23052315
2018-04-03,227.8,230.35,221.35,225.35,16685759
2018-04-04,215.01,226.6606,214.0,226.24,19729161
2018-04-05,228.6,229.13,218.49,221.38,17530973
2018-04-06,217.23,221.6,213.0735,214.25,16574720
2018-04-09,216.8,221.97,214.6,215.41,12488120
2018-04-10,224.72,229.0,222.41,227.91,19118807
2018-04-11,227.31,228.976,224.921,226.24,11506057
2018-04-12,230.0,235.32,228.2149,234.6,14847950
2018-04-13,237.17,237.51,229.55,231.5,12575892
2018-04-16,231.772,232.84,227.68,231.49,8769776
2018-04-17,233.6,238.4,231.35,237.54,11180638
2018-04-18,235.5,239.25,232.77,236.37,9784058
2018-04-19,231.7452,233.1,226.8,229.04,11799933
2018-04-20,228.69,232.1,227.45,228.71,9654966
2018-04-23,229.43,231.5,222.83,223.88,10687723
2018-04-24,224.92,228.8,218.56,221.2,10364894
2018-04-25,220.0,221.575,210.3,216.66,14712343
2018-04-26,223.2,225.55,220.53,225.22,9395574
2018-04-27,229.5,230.3,224.62,226.33,10021245
2018-04-30,226.99,229.0,224.12,224.9,8196067
2018-05-01,224.57,227.25,222.2,227.14,6344727
2018-05-02,227.0,228.8,225.25,226.31,6706185
2018-05-03,227.6,234.05,225.77,232.99,11078640
2018-05-04,231.83,239.1889,231.13,239.06,10016538
2018-05-07,243.2947,250.99,242.89,248.68,17190378
