date,open,high,low,close,volume
2018-01-02,47.1901,47.4194,45.8013,46.2576,25380018
2018-01-03,47.1504,47.6861,47.0611,47.329,24165000
2018-01-04,47.6068,47.8052,47.3339,47.7952,19815057
2018-01-05,48.0333,48.2416,47.8944,48.0829,14496427
2018-01-08,47.9143,48.6781,47.5572,48.5888,15075007
2018-01-09,49.0469,49.1565,48.7183,48.8577,14153666
2018-01-10,48.6585,49.0669,48.3797,48.5988,13476601
2018-01-11,48.6685,48.8179,48.2403,48.7482,11687801
2018-01-12,48.9772,49.6196,48.8577,49.3059,15978201
2018-01-16,49.6445,49.8536,49.2362,49.3855,17152564
2018-01-17,49.7042,50.0827,49.6445,50.0627,23183110
2018-01-18,49.9831,50.471,49.8934,50.0229,17119187
2018-01-19,50.2918,50.3914,50.0627,50.3715,14011470
2018-01-22,50.2221,50.5308,50.0627,50.5009,16840015
2018-01-23,50.5408,51.0586,50.3615,50.9092,14141416
2018-01-24,51.1482,51.7856,50.9989,51.2379,17205640
2018-01-25,51.3275,51.8304,51.3275,51.3873,13904280
2018-01-26,51.6462,52.5325,51.5466,52.5325,14909206
2018-01-29,52.4528,52.5723,51.6661,51.7259,12234923
2018-01-30,51.5267,51.7756,50.5358,50.7499,16863516
2018-01-31,50.6503,51.6312,50.6503,51.3773,16806832
2018-02-01,51.1482,51.7657,51.0487,51.4171,11674132
2018-02-02,51.0387,51.198,49.8337,49.9233,17562215
2018-02-05,49.8337,50.491,47.8618,47.8917,19725751
2018-02-06,47.1349,49.3059,46.6171,49.1963,25921187
2018-02-07,48.9971,49.6445,48.6187,48.6685,15138042
2018-02-08,48.8876,48.9175,46.617,46.6469,21255423
2018-02-09,47.3838,47.9519,45.7307,47.5332,23191006
2018-02-12,48.0212,48.2869,47.5232,47.9515,16261649
2018-02-13,47.8121,48.4793,47.573,48.2901,12633105
2018-02-14,47.9913,49.3158,47.9415,49.2461,14271379
2018-02-15,49.4951,50.476,49.2262,50.4312,14132495
2018-02-16,50.3416,50.9291,50.2818,50.5009,11098819
2018-02-20,49.993,50.1026,49.4503,49.6843,14144874
2018-02-21,49.6644,50.1324,49.2262,49.2262,13050820
2018-02-22,49.3855,49.8486,49.2013,49.3855,9513193
2018-02-23,49.5847,50.3615,49.4154,50.2918,8866832
2018-02-26,50.3814,51.0487,50.2918,50.959,12955970
2018-02-27,50.8594,51.1881,50.3266,50.5208,14339563
2018-02-28,50.8495,51.2877,50.4611,50.4611,14947949
2018-03-01,50.7499,50.7499,49.2113,49.505,16539779
2018-03-02,49.1266,50.1922,48.9523,50.1125,17290989
2018-03-05,49.6943,51.2777,49.6445,51.0785,18771549
2018-03-06,51.3474,51.5765,51.0088,51.2877,13907083
2018-03-07,50.8495,51.5964,50.8196,51.5068,11727303
2018-03-08,51.7259,51.9449,51.2528,51.9151,15864375
2018-03-09,52.1342,52.7815,51.9848,52.7516,16218601
2018-03-12,52.7616,53.2197,52.4479,52.6819,14108403
2018-03-13,53.0205,53.2595,52.1242,52.3632,12864366
2018-03-14,52.662,52.9309,51.9649,52.1043,10885538
2018-03-15,52.0047,52.4479,51.8952,52.1541,14155248
2018-03-16,52.184,52.4728,52.0346,52.0545,21011451
2018-03-19,52.2138,52.3632,51.2976,51.7358,25777352
2018-03-20,46.607,47.5531,46.2386,46.856,68600975
2018-03-21,47.095,47.8618,46.8162,46.8261,34597724
2018-03-22,46.5274,46.8276,45.5415,45.7008,25610072
2018-03-23,45.7904,46.1489,44.5755,44.6053,21398879
2018-03-26,45.3622,46.4477,45.1979,46.2884,20754752
2018-03-27,46.4377,46.627,44.8145,45.1929,18925257
2018-03-28,45.0933,45.173,44.3265,44.7945,22156930
2018-03-29,45.1232,46.0991,44.8244,45.5614,14256447
2018-04-02,45.4618,45.661,44.2369,44.8244,15343314
2018-04-03,45.1431,45.1431,44.1074,44.7049,15734569
2018-04-04,43.8883,45.4319,43.8584,45.3224,18505940
2018-04-05,45.5415,45.9896,45.3622,45.7705,12312979
2018-04-06,45.3224,45.5614,44.4161,44.6452,13893643
2018-04-09,44.924,45.4618,44.695,44.7149,15199976
2018-04-10,45.3622,45.8801,45.2726,45.6311,17177233
2018-04-11,45.2128,45.8004,45.173,45.422,14911438
2018-04-12,45.5016,45.9796,45.4568,45.6908,13970339
2018-04-13,46.1191,46.3382,45.422,45.89,12493597
2018-04-16,46.03,46.39,45.595,46.05,11639037
2018-04-17,46.41,46.93,46.39,46.66,10762747
2018-04-18,46.68,47.29,46.68,47.08,11312882
2018-04-19,46.99,47.11,46.7,46.82,8563187
2018-04-20,46.47,46.62,45.98,46.23,15675644
2018-04-23,46.38,46.47,45.72,45.8,14904389
2018-04-24,45.93,46.365,45.28,45.53,13356952
2018-04-25,45.42,45.84,45.05,45.75,11764000
2018-04-26,46.09,46.21,45.9,45.96,12175800
2018-04-27,46.12,46.12,45.465,45.53,14420754
2018-04-30,45.66,46.015,45.56,45.67,13896566
2018-05-01,45.39,45.95,45.39,45.95,8838034
2018-05-02,45.89,46.08,45.47,45.51,10715198
2018-05-03,45.36,45.39,44.49,45.06,15370217
2018-05-04,44.93,45.92,44.8,45.71,10571831
2018-05-07,45.94,46.239,45.78,46.07,9006006
