date,open,high,low,close,volume
2018-01-02,63.8321,64.774,63.6239,64.6451,6329553
2018-01-03,64.665,65.4978,64.1395,65.3789,6844206
2018-01-04,65.6168,65.9638,65.3491,65.4681,5060121
2018-01-05,65.478,66.0332,64.9426,65.9043,5421795
2018-01-08,65.6862,65.9638,65.3789,65.706,4266861
2018-01-09,65.0814,65.2995,64.3874,64.7146,7632310
2018-01-10,64.9228,65.1806,64.3279,64.7046,6569307
2018-01-11,64.6451,64.9426,64.5857,64.8732,4233066
2018-01-12,65.0517,65.3392,64.5262,64.8236,5007161
2018-01-16,65.6664,68.0658,65.4681,67.6692,24478762
2018-01-17,67.9369,68.3137,66.6678,67.4411,12559107
2018-01-18,67.1734,67.5998,66.9157,67.4709,6797858
2018-01-19,67.461,67.6692,67.1734,67.461,8864282
2018-01-22,67.2329,68.1649,67.1288,68.0856,8566244
2018-01-23,68.0162,68.3087,67.6593,67.7584,7825572
2018-01-24,67.6196,67.7039,66.8066,67.4015,12383058
2018-01-25,67.5601,67.7882,66.7174,66.8463,9122225
2018-01-26,67.3618,67.9468,67.0247,67.9468,7918957
2018-01-29,67.58,67.7188,66.6678,66.7471,9745261
2018-01-30,66.8562,67.3321,66.1621,66.4199,8059489
2018-01-31,66.9751,67.7981,66.8859,67.6692,13915637
2018-02-01,66.4298,67.7683,65.7556,66.2315,16838486
2018-02-02,65.6168,66.4695,65.2995,65.5077,10971652
2018-02-05,65.7358,65.9837,59.9851,61.2047,35995985
2018-02-06,61.7797,63.9808,61.6707,63.852,24458674
2018-02-07,63.6735,65.5573,63.4752,64.4865,15021211
2018-02-08,64.08,64.5163,61.869,61.8888,13451577
2018-02-09,62.4143,63.7726,60.937,63.4454,23094960
2018-02-12,64.3378,65.1409,63.842,65.1012,13692129
2018-02-13,64.6749,65.2004,64.427,65.1409,7695947
2018-02-14,64.5956,66.2315,64.5504,66.0233,10370934
2018-02-15,65.8151,65.8151,63.3166,64.7245,15548429
2018-02-16,64.2188,65.2698,64.0453,64.2981,11760282
2018-02-20,62.4738,63.5942,61.3336,63.4454,27494591
2018-02-21,62.5828,63.3166,62.1168,62.8605,14895594
2018-02-22,62.6126,63.0389,61.5021,61.6508,11722256
2018-02-23,62.2755,62.7811,61.5021,62.7811,6762248
2018-02-26,64.0007,66.7867,63.6437,66.41,27374315
2018-02-27,67.0,67.629,66.01,66.34,14325999
2018-02-28,66.7,66.72,64.911,65.0,9582055
2018-03-01,65.03,66.2372,64.33,64.96,10799216
2018-03-02,64.31,64.85,64.03,64.74,10612696
2018-03-05,64.34,65.6,63.54,64.01,15445533
2018-03-06,63.5,63.55,61.06,62.14,23450350
2018-03-07,61.49,62.61,61.425,62.49,12602357
2018-03-08,62.65,62.74,61.5655,61.82,8902097
2018-03-09,62.36,63.06,62.12,63.03,7655312
2018-03-12,63.05,63.48,62.3,62.81,15801317
2018-03-13,59.77,61.4,59.13,59.7,38572747
2018-03-14,59.9,60.38,57.895,60.12,29759066
2018-03-15,60.03,60.28,59.56,59.89,10494322
2018-03-16,60.6,61.49,60.48,60.62,25574509
2018-03-19,60.19,60.35,57.9,58.37,14131356
2018-03-20,58.99,59.0899,57.95,58.26,10615366
2018-03-21,57.5,58.28,56.77,56.81,12231943
2018-03-22,56.24,56.83,55.52,55.58,13554586
2018-03-23,55.63,56.15,53.65,53.66,14713281
2018-03-26,54.58,56.14,54.25,56.13,12093907
2018-03-27,56.59,57.24,54.54,54.84,12243196
2018-03-28,54.81,55.97,54.455,54.7,12925503
2018-03-29,55.04,55.93,54.6217,55.41,8482462
2018-04-02,55.1,55.24,53.07,53.81,16469583
2018-04-03,54.29,55.05,53.62,54.78,7930674
2018-04-04,53.8,55.12,53.421,54.99,7496667
2018-04-05,55.49,55.5,54.44,55.04,5823253
2018-04-06,54.42,54.77,53.11,53.12,8322160
2018-04-09,53.52,54.89,53.34,53.43,7608458
2018-04-10,54.58,55.01,54.215,54.77,12331362
2018-04-11,54.19,55.07,54.15,55.01,6205294
2018-04-12,55.47,55.65,55.02,55.2,7412746
2018-04-13,56.61,56.79,55.4189,55.73,12588216
2018-04-16,55.94,55.99,54.57,54.77,7850467
2018-04-17,54.99,55.6767,54.78,55.35,7089710
2018-04-18,55.14,55.62,54.88,55.23,4796812
2018-04-19,54.0,54.14,52.5,52.57,19179461
2018-04-20,52.81,52.89,51.32,51.44,11838157
2018-04-23,51.5,51.81,50.27,50.53,10961471
2018-04-24,50.88,51.29,49.38,49.94,11670049
2018-04-25,50.0,50.44,48.87,49.75,9619236
2018-04-26,49.52,50.59,48.56,50.47,13683975
2018-04-27,50.75,51.36,50.49,51.11,9443094
2018-04-30,51.25,51.82,51.0,51.01,9469642
2018-05-01,50.76,51.05,50.04,50.82,6780517
2018-05-02,51.24,51.25,49.92,50.26,8142996
2018-05-03,49.99,50.544,49.31,50.31,8609168
2018-05-04,50.18,52.6,49.9194,52.49,9880580
2018-05-07,52.58,53.27,52.52,53.01,9571714
