date,open,high,low,close,volume
2018-01-02,38.0084,38.0084,37.3273,37.5024,32195623
2018-01-03,37.4343,37.4538,36.5196,36.6364,39162458
2018-01-04,36.7337,37.1619,36.2569,36.977,27865665
2018-01-05,37.1132,37.1327,36.7824,37.1132,22194851
2018-01-08,37.1229,37.4441,36.831,37.2203,26643949
2018-01-09,37.1019,37.4569,36.954,36.9639,28061066
2018-01-10,36.8653,36.8653,36.0272,36.1061,41078627
2018-01-11,36.1554,36.254,35.8596,35.9681,41400305
2018-01-12,35.9681,36.4709,35.8103,36.3822,31182186
2018-01-16,36.3822,36.5005,36.0272,36.2047,24727605
2018-01-17,36.254,36.4315,35.973,36.3329,22050208
2018-01-18,36.323,36.8554,36.2934,36.6287,27661060
2018-01-19,36.8456,36.8456,36.4216,36.6878,27919839
2018-01-22,36.678,37.3681,36.4611,37.3386,31660644
2018-01-23,37.4174,37.6837,36.5104,36.6681,33035978
2018-01-24,36.7667,36.8604,36.4611,36.5005,28567810
2018-01-25,36.5695,36.9245,36.323,36.9245,23400305
2018-01-26,36.9343,37.2893,36.8357,37.2893,21608455
2018-01-29,36.609,37.1512,36.4611,36.7371,30879645
2018-01-30,36.8357,37.2696,36.7766,36.9146,29883171
2018-01-31,36.8949,37.3926,36.8061,36.9245,41422384
2018-02-01,37.9696,38.7386,37.8621,38.6105,59963826
2018-02-02,38.4823,38.4922,37.2794,37.5358,46098657
2018-02-05,37.2794,37.7724,36.116,36.116,45595537
2018-02-06,35.5737,36.5498,35.0018,36.3132,62905300
2018-02-07,36.2934,36.9245,36.2244,36.4118,35634519
2018-02-08,36.3723,36.4315,35.0708,35.0708,45743025
2018-02-09,35.3272,35.8399,34.5384,35.5441,50218426
2018-02-12,35.8202,36.0864,35.4652,35.8596,27750742
2018-02-13,35.7807,36.1948,35.4652,36.0864,22877170
2018-02-14,35.8892,36.253,35.6033,35.8991,24834221
2018-02-15,35.9582,36.4808,35.7216,36.4808,27507162
2018-02-16,36.4611,36.8653,36.3428,36.6188,19901638
2018-02-20,36.3625,36.5695,36.1554,36.254,22071534
2018-02-21,36.254,36.519,35.7709,35.8005,20792614
2018-02-22,35.9582,36.4709,35.8991,35.9582,18537517
2018-02-23,36.0371,36.2343,35.7807,36.2047,17446314
2018-02-26,36.4118,36.9836,36.2934,36.9343,19871434
2018-02-27,36.8949,37.1118,36.3526,36.3526,21420614
2018-02-28,36.6583,36.6583,35.7906,35.7906,29281673
2018-03-01,35.8005,36.2343,35.3617,35.4948,28548902
2018-03-02,35.4948,35.8892,35.4455,35.8399,21364000
2018-03-05,35.692,36.3033,35.5934,36.185,19298996
2018-03-06,36.3132,36.3822,35.9878,36.3526,17462057
2018-03-07,36.0765,36.5054,36.047,36.392,18485992
2018-03-08,36.392,36.5892,36.047,36.5892,19766286
2018-03-09,36.6484,36.6977,36.3033,36.5301,18820270
2018-03-12,36.5301,37.0378,36.5202,36.8357,22305006
2018-03-13,37.0231,37.2794,36.7371,36.8653,19183815
2018-03-14,37.0625,37.0625,36.4413,36.5104,18605247
2018-03-15,36.5695,36.7667,36.4906,36.5202,21879149
2018-03-16,36.5695,36.816,36.3822,36.4808,37103039
2018-03-19,36.4611,36.5744,35.9582,36.0667,19637887
2018-03-20,36.1653,36.3033,35.6723,35.83,20167101
2018-03-21,35.83,35.9878,35.4948,35.4948,17437156
2018-03-22,35.4455,35.5343,34.8638,34.8737,28196930
2018-03-23,34.8737,35.485,34.0652,34.2131,35027990
2018-03-26,34.568,34.7914,33.9567,34.2032,31492531
2018-03-27,34.361,34.706,34.2032,34.4102,33860715
2018-03-28,34.7948,35.3469,34.7455,35.061,30746165
2018-03-29,35.1793,35.3864,34.5286,35.1497,27564088
2018-04-02,35.0807,35.1596,34.3411,34.6074,29232922
2018-04-03,34.6666,34.923,34.361,34.8737,21880171
2018-04-04,34.5483,35.4357,34.4891,35.3765,20562124
2018-04-05,35.4258,35.7019,35.1827,35.6328,17103329
2018-04-06,35.5047,35.692,34.923,35.13,25117409
2018-04-09,35.24,35.7,35.06,35.17,21879644
2018-04-10,35.32,36.39,35.05,35.81,40263863
2018-04-11,35.66,35.73,35.18,35.25,21045775
2018-04-12,35.42,35.47,35.06,35.16,21950205
2018-04-13,35.21,35.37,35.02,35.14,14374835
2018-04-16,35.37,35.82,35.215,35.64,24897295
2018-04-17,35.69,35.765,35.31,35.36,20585770
2018-04-18,35.48,35.54,35.16,35.21,21601034
2018-04-19,35.24,35.27,34.81,34.82,23543932
2018-04-20,34.86,35.06,34.15,34.67,32452801
2018-04-23,34.71,34.89,34.59,34.89,21211939
2018-04-24,35.15,35.33,34.76,35.0,21572221
2018-04-25,34.8688,35.24,34.73,35.2,25171822
2018-04-26,33.44,33.7,32.465,33.1,132230365
2018-04-27,33.14,33.56,33.02,33.04,54209888
2018-04-30,33.27,33.41,32.67,32.7,46154796
2018-05-01,32.75,32.91,32.36,32.54,35817129
2018-05-02,32.63,32.63,31.9,32.06,40178616
2018-05-03,32.04,32.15,31.61,31.94,40296150
2018-05-04,31.94,32.27,31.8201,32.14,25539542
2018-05-07,32.22,32.25,31.85,32.04,26266284
