date,open,high,low,close,volume
2018-01-02,34.61,34.88,34.15,34.77,2588888
2018-01-03,34.96,35.5,34.67,34.97,1998506
2018-01-04,35.22,35.41,34.24,34.92,2805328
2018-01-05,34.98,35.145,34.65,34.73,1763572
2018-01-08,34.6,34.83,34.265,34.67,1865602
2018-01-09,34.87,34.88,34.45,34.59,1478272
2018-01-10,34.36,34.62,34.16,34.49,2243615
2018-01-11,34.59,35.61,34.42,35.28,4183064
2018-01-12,35.43,36.675,35.25,36.54,4419340
2018-01-16,37.36,37.42,35.78,35.89,4054983
2018-01-17,36.21,36.23,35.17,35.9,4656368
2018-01-18,35.91,36.47,35.15,35.62,2940983
2018-01-19,35.54,35.8,35.055,35.45,3190837
2018-01-22,35.49,37.265,35.15,37.2,3137865
2018-01-23,37.19,38.17,36.26,36.3,3377347
2018-01-24,36.35,36.83,35.84,36.31,2360976
2018-01-25,36.77,36.8,35.58,36.49,1680501
2018-01-26,36.8,36.97,36.12,36.78,1199350
2018-01-29,36.55,37.48,36.14,36.33,1943966
2018-01-30,36.04,36.11,34.88,34.9,2064581
2018-01-31,34.99,35.14,34.09,34.67,2665955
2018-02-01,34.28,34.95,34.23,34.62,1516931
2018-02-02,34.44,34.93,34.0791,34.35,1493803
2018-02-05,34.34,36.2,34.18,35.62,4758249
2018-02-06,34.89,41.31,34.76,40.84,11626468
2018-02-07,40.51,41.34,40.0,41.05,4229383
2018-02-08,41.2,41.33,40.05,40.05,5234474
2018-02-09,38.97,40.35,36.5,38.31,7047895
2018-02-12,38.52,38.75,36.27,37.71,3842296
2018-02-13,37.63,40.14,37.47,39.88,3643910
2018-02-14,39.5,40.93,39.02,40.72,6076945
2018-02-15,46.0,47.02,41.45,42.4,19137874
2018-02-16,42.45,44.26,41.9,43.32,5179473
2018-02-20,43.21,43.6,42.24,42.65,3659799
2018-02-21,42.67,43.11,41.68,42.37,4005155
2018-02-22,42.62,42.62,41.45,41.65,2757667
2018-02-23,41.78,42.52,41.26,42.3,2727294
2018-02-26,42.4,42.68,41.13,41.45,2174376
2018-02-27,41.64,42.1,39.64,39.73,3869345
2018-02-28,40.09,40.6,39.55,40.08,2635469
2018-03-01,40.49,40.75,39.354,39.76,2093722
2018-03-02,39.3,40.26,38.27,39.69,2220828
2018-03-05,39.54,42.1099,39.325,41.97,2710047
2018-03-06,41.89,42.64,41.15,42.38,2681738
2018-03-07,41.85,43.25,41.56,42.58,1958451
2018-03-08,42.69,42.78,41.68,42.45,1775439
2018-03-09,42.61,43.0466,42.189,43.03,1743831
2018-03-12,43.2,43.26,42.49,43.17,1528189
2018-03-13,43.23,43.58,41.95,42.28,1919244
2018-03-14,42.56,44.26,41.87,44.05,3067989
2018-03-15,44.27,45.2,43.495,43.74,2175997
2018-03-16,43.74,44.06,43.3,43.77,1947343
2018-03-19,43.57,43.72,42.3,42.72,1568158
2018-03-20,42.57,42.75,41.74,41.78,1610238
2018-03-21,41.83,42.0,41.21,41.59,1642545
2018-03-22,41.33,41.33,40.09,40.11,1422113
2018-03-23,40.37,40.76,39.67,40.04,1550786
2018-03-26,40.66,42.01,40.24,41.94,1698850
2018-03-27,42.0,42.0,40.21,40.33,1704106
2018-03-28,40.3,41.04,39.5,40.61,2218501
2018-03-29,40.69,41.29,40.27,40.89,1865583
2018-04-02,40.66,40.66,39.08,39.12,2076950
2018-04-03,39.54,40.2,39.13,40.01,2044991
2018-04-04,39.24,41.5,39.2,41.42,2435126
2018-04-05,41.64,42.02,41.3,41.37,2096462
2018-04-06,40.9,41.5,39.85,40.15,1997975
2018-04-09,40.39,40.49,39.78,39.8,1130303
2018-04-10,40.46,41.36,39.99,40.83,1078958
2018-04-11,40.65,41.16,40.2101,40.33,950718
2018-04-12,40.52,40.83,40.28,40.71,1051453
2018-04-13,41.04,41.04,40.18,40.52,831506
2018-04-16,40.8,41.98,40.26,41.14,1059623
2018-04-17,41.61,42.39,41.23,41.98,1484065
2018-04-18,41.57,42.31,41.09,42.1,1705657
2018-04-19,41.86,41.99,41.36,41.64,1125218
2018-04-20,41.54,42.12,41.23,41.62,1151736
2018-04-23,41.65,43.91,41.35,42.69,2247729
2018-04-24,42.79,43.155,41.65,41.91,1969613
2018-04-25,41.87,41.87,38.24,38.33,3931035
2018-04-26,38.43,38.77,37.28,37.39,3143583
2018-04-27,38.18,38.19,36.75,37.27,2851051
2018-04-30,37.33,37.78,36.96,37.42,1486031
2018-05-01,37.21,37.54,36.8399,37.53,1710953
2018-05-02,37.39,38.5,37.22,38.3,2535009
2018-05-03,38.22,38.26,37.355,38.0,2255436
2018-05-04,37.72,39.0,37.12,38.53,2629489
2018-05-07,38.77,40.23,38.75,39.43,3430789
