date,open,high,low,close,volume
2018-01-02,114.3709,114.88,113.752,114.311,6080894
2018-01-03,114.7502,115.5838,114.4607,115.449,6946106
2018-01-04,116.048,117.156,115.8283,115.8783,7805278
2018-01-05,116.7867,118.7932,116.2177,118.6534,8590495
2018-01-08,118.4039,120.2676,117.8648,119.1326,6660722
2018-01-09,119.7615,119.7615,118.4538,118.903,6562409
2018-01-10,118.4837,118.8431,117.2559,118.7732,7490349
2018-01-11,118.5935,119.7715,118.4737,119.6317,5982149
2018-01-12,119.9112,120.1408,119.5019,119.8813,5585787
2018-01-16,120.9694,121.7281,119.7016,120.1808,8803789
2018-01-17,120.9894,121.9477,120.5202,121.768,7991512
2018-01-18,122.3071,122.9809,121.8179,122.896,8660985
2018-01-19,122.8361,123.4351,121.7081,122.4867,8250687
2018-01-22,122.6565,124.1139,122.1873,124.1139,9355047
2018-01-23,124.3834,125.2919,123.9941,124.4334,5683320
2018-01-24,124.8327,125.232,123.495,124.3335,6425224
2018-01-25,124.7827,125.2519,124.4134,125.0024,7166403
2018-01-26,125.5514,126.1604,124.5432,126.1005,5604949
2018-01-29,126.5197,126.6595,124.4683,124.623,6257887
2018-01-30,123.6048,124.074,122.6265,123.3353,8154371
2018-01-31,123.5649,124.2637,122.8262,124.0141,7338184
2018-02-01,124.5232,126.0406,123.8843,125.5015,11169657
2018-02-02,123.505,123.505,120.4902,120.6999,13937710
2018-02-05,118.4937,120.9195,114.8101,116.0679,16623914
2018-02-06,114.9998,120.0909,113.0532,119.7615,19053339
2018-02-07,119.8813,122.2472,119.0028,119.442,9293996
2018-02-08,119.3223,119.6118,113.3427,113.6621,12673416
2018-02-09,114.3509,117.0063,110.8271,116.1178,17695515
2018-02-12,117.5853,118.6335,116.6769,118.2641,11526322
2018-02-13,117.6452,118.5935,116.9265,118.1443,7803914
2018-02-14,117.4156,120.7398,117.2958,120.62,9206447
2018-02-15,121.7,122.31,119.97,122.28,6921256
2018-02-16,121.63,122.99,121.57,121.85,6371435
2018-02-20,121.35,123.05,121.02,122.01,6182797
2018-02-21,122.05,122.83,120.41,120.43,7676065
2018-02-22,120.67,121.38,119.6167,120.38,4993959
2018-02-23,121.57,122.96,121.221,122.93,5036876
2018-02-26,123.58,124.6,123.32,124.59,6270475
2018-02-27,124.7,125.3,123.35,123.37,7287215
2018-02-28,123.65,124.98,122.88,122.94,6780867
2018-03-01,123.26,124.0,119.62,120.4,8819616
2018-03-02,119.09,120.98,117.86,120.77,7581920
2018-03-05,120.45,122.31,119.44,121.88,5810235
2018-03-06,122.83,123.24,120.67,121.06,7464417
2018-03-07,120.03,122.24,119.7,121.85,7254084
2018-03-08,121.96,122.82,121.1676,122.22,6948887
2018-03-09,123.25,124.79,122.87,124.51,6397723
2018-03-12,124.75,124.98,123.48,124.24,8635974
2018-03-13,124.25,125.0,122.9,123.2,9479456
2018-03-14,124.04,124.04,121.9,122.58,7854962
2018-03-15,123.13,124.42,122.7,123.41,5861935
2018-03-16,123.85,125.05,123.33,124.53,9447131
2018-03-19,123.94,124.31,122.28,123.21,17387751
2018-03-20,123.38,125.17,123.3,124.91,7779656
2018-03-21,124.9,125.44,123.07,123.22,7359545
2018-03-22,122.2,122.68,119.7,119.99,10501470
2018-03-23,119.89,120.73,116.76,117.0,10024268
2018-03-26,119.09,120.74,117.8,120.64,8735438
2018-03-27,121.52,121.6,116.74,117.4,9008647
2018-03-28,116.93,118.07,116.03,116.99,9420430
2018-03-29,117.68,120.5949,117.04,119.62,12918073
2018-04-02,119.27,119.83,116.76,118.39,9877103
2018-04-03,118.89,119.99,117.49,119.2,7084805
2018-04-04,116.9,120.12,116.7102,119.81,8425714
2018-04-05,121.0,122.01,120.37,121.19,6815997
2018-04-06,120.18,120.5567,117.12,117.7,8383796
2018-04-09,118.63,120.67,118.63,118.79,7024815
2018-04-10,120.56,121.16,119.64,120.72,9006074
2018-04-11,119.99,121.66,119.62,119.78,5874943
2018-04-12,120.4,121.98,120.3901,121.07,5666005
2018-04-13,121.73,122.47,120.65,120.75,9174257
2018-04-16,122.11,122.87,121.51,121.88,6903235
2018-04-17,122.91,124.26,122.52,123.8,5979617
2018-04-18,124.06,124.87,123.38,124.48,5171047
2018-04-19,124.31,124.72,123.15,123.96,7294128
2018-04-20,124.06,124.82,123.31,124.2,7479439
2018-04-23,124.3,124.97,123.9,124.46,8004330
2018-04-24,124.87,125.04,120.55,121.27,9434388
2018-04-25,121.14,121.35,119.373,121.21,7993775
2018-04-26,125.14,127.59,123.781,127.08,14345791
2018-04-27,126.44,127.06,125.39,126.01,6842673
2018-04-30,126.74,127.9,126.66,126.88,8449212
2018-05-01,126.86,127.57,125.51,127.51,6407333
2018-05-02,127.88,128.1,126.0,126.38,8515290
2018-05-03,125.81,127.46,125.3217,127.18,6778649
2018-05-04,126.33,128.36,126.07,128.16,5798380
2018-05-07,128.4,129.52,128.25,129.26,5737264
