date,open,high,low,close,volume
2018-01-02,126.2,127.49,125.72,127.29,1285685
2018-01-03,127.98,130.9899,127.8,130.03,1876422
2018-01-04,130.38,132.8,130.17,131.24,1659503
2018-01-05,131.75,132.29,131.0,131.26,995542
2018-01-08,131.0,131.13,130.0,130.9,1277124
2018-01-09,130.85,131.0,128.92,129.27,1324907
2018-01-10,128.81,129.22,127.39,129.22,1270873
2018-01-11,131.73,133.33,130.8708,133.27,1345983
2018-01-12,132.79,133.12,131.5,132.53,1185661
2018-01-16,133.21,134.45,132.06,132.14,1389192
2018-01-17,133.0,135.99,132.39,135.33,1454277
2018-01-18,135.0,136.19,134.0122,135.63,1088422
2018-01-19,135.65,136.62,135.5,136.04,1287132
2018-01-22,136.15,137.4,134.85,136.69,1261021
2018-01-23,137.0,138.12,136.72,137.96,1349946
2018-01-24,137.0,138.32,135.76,137.07,1438461
2018-01-25,137.66,139.32,136.74,137.63,1126721
2018-01-26,145.21,165.0,144.25,150.0,27806732
2018-01-29,148.25,151.38,124.24,125.05,20010366
2018-01-30,122.75,124.39,118.0001,118.74,9357929
2018-01-31,120.79,127.8285,120.01,123.79,6836254
2018-02-01,123.45,129.335,122.5838,125.71,4291166
2018-02-02,125.66,127.54,120.73,122.72,4009670
2018-02-05,120.07,121.83,116.06,116.4,3343944
2018-02-06,113.27,117.21,111.26,115.56,3181829
2018-02-07,115.36,118.7,112.68,112.9,2423516
2018-02-08,113.29,114.2702,108.46,108.46,2963720
2018-02-09,110.01,114.93,108.818,113.13,2705045
2018-02-12,114.01,117.3,113.46,116.58,2560429
2018-02-13,115.9,120.24,115.11,120.08,2169770
2018-02-14,119.4,124.74,119.19,124.42,2840935
2018-02-15,125.13,125.6292,120.8405,123.62,2207320
2018-02-16,122.84,125.37,122.1,124.55,1886608
2018-02-20,123.39,124.51,122.535,123.6,1911022
2018-02-21,124.34,126.53,122.78,122.94,1521170
2018-02-22,123.3,126.15,123.02,125.23,1578905
2018-02-23,126.41,126.88,124.291,126.42,1986965
2018-02-26,126.85,128.98,126.29,128.66,1799889
2018-02-27,128.6,130.56,128.17,128.85,2096462
2018-02-28,130.35,133.64,130.2,131.75,2240113
2018-03-01,131.0,131.71,122.0,123.66,6308502
2018-03-02,115.43,118.5,113.3,116.34,8108329
2018-03-05,114.35,118.72,113.9,118.24,4258039
2018-03-06,118.75,120.93,118.06,120.53,3489742
2018-03-07,119.5,124.48,119.33,124.25,2101238
2018-03-08,125.02,126.02,122.93,123.52,1236224
2018-03-09,124.36,126.03,123.61,125.84,1893873
2018-03-12,125.72,127.76,124.76,127.19,3293802
2018-03-13,127.19,127.5,123.3852,124.03,1845719
2018-03-14,124.88,124.927,123.49,124.75,1497120
2018-03-15,125.35,125.97,124.58,125.51,1607734
2018-03-16,125.16,127.06,124.35,124.47,2160437
2018-03-19,123.5,126.24,122.75,125.59,1492452
2018-03-20,125.95,128.42,125.41,126.16,1349664
2018-03-21,126.12,126.12,123.91,124.35,1125202
2018-03-22,123.26,124.0,121.82,122.1,895231
2018-03-23,122.13,127.07,119.64,122.06,2683089
2018-03-26,123.66,126.45,123.58,126.03,1398220
2018-03-27,127.38,128.35,122.24,123.37,1891213
2018-03-28,123.26,123.26,119.33,119.95,1825034
2018-03-29,120.28,122.48,119.1,121.27,1927512
2018-04-02,121.49,122.05,118.82,120.48,1545856
2018-04-03,121.4,121.4899,118.84,119.87,1713451
2018-04-04,117.66,122.18,117.61,121.83,2016852
2018-04-05,122.77,122.99,120.82,121.81,1067933
2018-04-06,120.77,122.5,117.8301,118.65,2315834
2018-04-09,119.2,122.6,119.2,120.47,1273613
2018-04-10,121.8,123.53,121.2701,121.75,2178082
2018-04-11,121.11,123.29,120.58,121.49,2067797
2018-04-12,122.3,122.8,121.34,122.15,1567283
2018-04-13,123.0,123.0,120.5301,121.34,2900957
2018-04-16,126.28,130.19,126.0,127.76,4509870
2018-04-17,129.56,132.56,129.17,131.88,3213819
2018-04-18,136.3,138.34,135.54,137.54,4232588
2018-04-19,136.59,137.15,133.7075,135.59,2921682
2018-04-20,135.59,136.57,133.85,136.05,2620810
2018-04-23,136.68,136.735,134.31,135.02,1370021
2018-04-24,135.74,136.97,133.07,133.96,2543691
2018-04-25,133.83,133.87,131.14,131.62,1548164
2018-04-26,132.63,133.63,131.52,132.41,1217818
2018-04-27,133.5,133.98,131.74,133.05,1076608
2018-04-30,133.05,134.295,132.19,133.26,1062218
2018-05-01,132.75,133.37,131.39,133.22,1748317
2018-05-02,132.75,133.4,132.0,132.49,1379894
2018-05-03,132.37,133.33,131.12,132.87,1177019
2018-05-04,132.32,135.78,132.13,134.35,1148606
2018-05-07,135.05,136.31,134.3692,135.82,641271
