date,open,high,low,close,volume
2018-01-02,80.05,81.22,79.27,81.02,2045457
2018-01-03,78.5,79.37,75.75,78.45,2693881
2018-01-04,78.51,79.51,76.26,79.3,1202387
2018-01-05,79.96,81.06,78.34,80.75,1245983
2018-01-08,81.09,83.94,81.0,83.05,1591194
2018-01-09,83.01,83.7799,81.001,81.25,1231502
2018-01-10,80.97,83.03,80.67,82.96,1216518
2018-01-11,83.0,85.65,83.0,85.39,1177291
2018-01-12,85.07,88.06,84.81,85.58,1135564
2018-01-16,86.59,87.7199,84.33,84.5,1115935
2018-01-17,84.69,86.3269,83.78,85.56,989804
2018-01-18,85.96,86.2071,84.99,85.56,680778
2018-01-19,85.96,88.61,85.72,87.84,988485
2018-01-22,87.25,91.49,87.171,90.64,2507863
2018-01-23,88.01,90.41,87.55,90.18,1259671
2018-01-24,91.36,92.52,87.84,90.84,1292284
2018-01-25,91.68,92.645,90.01,91.16,908600
2018-01-26,91.83,93.55,91.11,93.3,922307
2018-01-29,93.3,94.95,92.66,94.36,1150577
2018-01-30,90.9,94.18,90.9,92.98,848979
2018-01-31,92.5,94.0,91.35,92.01,715866
2018-02-01,90.88,93.2869,90.04,91.73,868992
2018-02-02,91.0,92.11,89.89,90.78,1197041
2018-02-05,89.37,94.36,89.02,89.27,1619035
2018-02-06,87.78,92.115,87.76,91.99,1047152
2018-02-07,91.5,93.48,90.57,91.13,1186744
2018-02-08,91.51,92.47,88.855,88.98,933620
2018-02-09,90.0,91.7899,85.57,90.68,1404643
2018-02-12,91.43,92.59,88.8583,92.02,928728
2018-02-13,91.9,95.08,91.85,92.55,1156829
2018-02-14,92.0,98.2,91.54,97.07,1605370
2018-02-15,97.1,98.43,95.48,96.76,1412050
2018-02-16,97.25,98.73,95.95,97.52,1031066
2018-02-20,97.28,100.14,96.04,96.3,2134955
2018-02-21,96.66,98.31,94.93,95.69,3230797
2018-02-22,81.46,83.49,73.56,73.95,12899965
2018-02-23,73.77,76.4,68.5,75.25,11334119
2018-02-26,75.55,77.54,72.69,75.01,4019773
2018-02-27,74.09,76.81,74.09,76.27,2703538
2018-02-28,76.66,78.9,75.0,77.42,2669177
2018-03-01,77.21,79.38,76.02,79.28,2283887
2018-03-02,78.54,80.65,77.46,80.34,1657117
2018-03-05,80.0,81.74,79.28,81.22,1208473
2018-03-06,80.9,83.66,80.75,83.13,1301783
2018-03-07,81.67,85.3,81.13,84.64,1532166
2018-03-08,85.7,86.96,84.15,85.37,1292905
2018-03-09,85.77,86.34,84.26,86.26,1198017
2018-03-12,86.5,87.75,84.89,85.0,1271540
2018-03-13,84.94,85.5,83.67,84.36,990815
2018-03-14,84.53,86.17,83.5239,84.86,991114
2018-03-15,84.83,85.0259,81.11,83.96,1497883
2018-03-16,80.69,81.8,77.47,78.95,3287015
2018-03-19,78.19,79.31,75.75,76.53,2231831
2018-03-20,77.04,77.05,75.01,76.5,1818525
2018-03-21,76.0,77.3,72.0,72.45,2841568
2018-03-22,72.13,72.31,69.08,69.27,2423219
2018-03-23,69.05,70.115,66.86,67.58,2125200
2018-03-26,68.72,68.81,67.0,68.01,1906114
2018-03-27,68.11,68.7,65.81,66.54,2458102
2018-03-28,66.2,67.48,64.25,65.14,2596767
2018-03-29,65.89,68.17,65.57,67.53,1857082
2018-04-02,64.67,67.53,61.69,62.66,3461450
2018-04-03,63.19,66.12,61.8,65.79,2671469
2018-04-04,64.34,67.64,63.58,67.35,1912170
2018-04-05,67.86,68.93,67.32,68.12,1432625
2018-04-06,67.49,68.91,66.53,66.64,1122389
2018-04-09,67.5,68.56,66.66,67.15,678243
2018-04-10,68.21,68.77,66.65,68.45,898149
2018-04-11,68.0,69.94,67.45,67.67,807115
2018-04-12,68.03,68.29,67.12,67.72,719346
2018-04-13,68.31,68.31,66.15,66.81,1173715
2018-04-16,67.1,67.47,65.505,65.86,1397942
2018-04-17,66.66,69.85,65.985,68.24,1808732
2018-04-18,68.57,70.53,67.89,69.68,1496201
2018-04-19,69.64,70.0,68.1,69.12,906010
2018-04-20,68.62,71.272,68.42,69.91,2221913
2018-04-23,70.83,73.61,69.77,73.24,2694758
2018-04-24,73.43,73.71,68.32,68.77,1585538
2018-04-25,67.32,68.29,66.06,67.47,1514172
2018-04-26,68.47,68.95,67.25,67.75,1426434
2018-04-27,68.25,69.3,66.2,66.61,2703128
2018-04-30,63.31,64.25,60.53,62.3,3734167
2018-05-01,61.97,65.66,61.49,65.17,3085538
2018-05-02,71.82,77.49,68.4,74.07,7213309
2018-05-03,74.01,76.47,73.64,76.17,2331361
2018-05-04,75.13,81.43,75.03,80.13,2527836
2018-05-07,80.0,83.28,79.94,82.16,1748436
